unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
0_fold0_x0,2019-06-05,2019-06-04,-0.6422518,-0.6264874,-0.6398557,-0.64051735,-0.64692473,-0.61936224,-0.64579636,-0.65625435,-0.6178194,-0.63016057,-0.6864413925127599,-0.5072610554134805,0
0_fold0_x0,2019-06-06,2019-06-04,-0.63715154,-0.62331307,-0.65608335,-0.6621376,-0.64177364,-0.62077683,-0.66377753,-0.66308004,-0.6111517,-0.6298859,-0.6661568260486906,-0.5681147548056886,0
0_fold0_x0,2019-06-07,2019-06-04,-0.62824506,-0.65171206,-0.6570688,-0.6732837,-0.666023,-0.63008463,-0.6717086,-0.67282444,-0.64483994,-0.6368317,-0.5883993212697579,-0.6238973125818794,0
0_fold0_x0,2019-06-08,2019-06-04,-0.6154028,-0.6128087,-0.6095039,-0.61588514,-0.6066304,-0.59554285,-0.60785,-0.626136,-0.61044425,-0.6123097,-0.5968512239631202,-0.6746087287420529,0
0_fold0_x0,2019-06-09,2019-06-04,-0.60323185,-0.57354635,-0.5752156,-0.56357294,-0.5706419,-0.5653537,-0.5726757,-0.5871503,-0.56330746,-0.5776891,-0.5562820910349815,-0.622206932043207,0
0_fold0_x0,2019-06-10,2019-06-04,-0.60067874,-0.57109123,-0.56549495,-0.5635344,-0.5676895,-0.5914356,-0.57105786,-0.5658059,-0.5762999,-0.5791258,-0.652633781739311,-0.5579724715736539,0
0_fold0_x0,2019-06-11,2019-06-04,-0.6316765,-0.62595546,-0.6184912,-0.62299126,-0.6179918,-0.6052485,-0.62633324,-0.61033756,-0.6292922,-0.6262861,-0.6340395958139141,-0.5681147548056886,0
0_fold0_x0,2019-06-12,2019-06-04,-0.63238007,-0.6130444,-0.6248247,-0.6168689,-0.62754524,-0.6060678,-0.6282317,-0.62588096,-0.60609,-0.61436933,-0.5140225775681703,-0.5714955158830336,0
0_fold0_x0,2019-06-13,2019-06-04,-0.62206143,-0.63283575,-0.6410508,-0.65014553,-0.6381201,-0.6182408,-0.65937126,-0.64550376,-0.63999957,-0.6232452,-0.6053031266564824,-0.6171357904271896,0
0_fold0_x0,2019-06-14,2019-06-04,-0.61706126,-0.64530647,-0.65951604,-0.66216815,-0.663983,-0.63589686,-0.6609325,-0.6581132,-0.6525751,-0.6236144,-0.6019223655791376,-0.6560145428166558,0
