unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000002_fold0_x0,2005-01-01,2004-12-01,13.682757,15.983422,16.253643,11.196851,14.487762,13.877978,14.751447,15.259707,14.134853,13.869652,16,14.0,0
T000002_fold0_x0,2005-02-01,2004-12-01,12.849254,12.177752,13.570877,11.390518,11.512649,12.370912,12.133131,13.60623,12.676562,11.201336,15,10.0,0
T000002_fold0_x0,2005-03-01,2004-12-01,11.726348,15.773787,16.18705,10.640079,13.1035795,10.460154,15.039148,14.460943,13.350172,14.181498,16,9.0,0
T000002_fold0_x0,2005-04-01,2004-12-01,11.095251,14.9097805,15.308179,10.429252,12.36232,9.667393,13.932819,13.263277,13.5223465,13.443885,15,7.0,0
T000002_fold0_x0,2005-05-01,2004-12-01,11.818122,14.817112,14.453818,10.431439,11.984128,9.868715,13.456936,13.761177,12.484712,13.794214,8,15.0,0
T000002_fold0_x0,2005-06-01,2004-12-01,10.451743,13.359753,14.114228,9.943056,10.827735,9.143589,13.524237,13.06852,12.247802,13.700542,19,9.0,0
T000002_fold0_x0,2005-07-01,2004-12-01,12.317519,14.937978,15.85836,9.176079,11.912305,10.555969,13.500092,12.824798,9.525901,15.249736,16,14.0,0
T000002_fold0_x0,2005-08-01,2004-12-01,11.64004,15.149569,15.882406,8.561701,11.559267,10.955859,13.962464,13.109672,9.487322,14.228796,20,7.0,0
T000002_fold0_x0,2005-09-01,2004-12-01,12.057283,13.55918,13.125069,8.420331,11.145043,11.847811,12.17135,12.377031,12.203575,12.753973,11,8.0,0
T000002_fold0_x0,2005-10-01,2004-12-01,12.321062,15.676624,16.715229,8.796022,12.855653,13.061141,14.298634,13.551098,14.255629,13.825479,13,12.0,0
T000002_fold0_x0,2005-11-01,2004-12-01,13.475828,13.747391,13.657991,9.768184,12.410552,14.888394,13.801367,13.34831,14.833387,12.935332,12,18.0,0
T000002_fold0_x0,2005-12-01,2004-12-01,14.536749,15.603284,16.28365,11.780889,15.285284,13.792191,14.786558,15.095671,15.834519,13.565834,8,19.0,0
T000005_fold0_x1,2005-01-01,2004-12-01,13.732937,13.019066,11.899742,14.737288,14.4051075,12.9416,13.147535,14.649429,13.136158,14.701406,12,11.0,0
T000005_fold0_x1,2005-02-01,2004-12-01,13.292598,11.726573,11.033726,16.054804,13.0838585,12.570149,11.4126835,13.476725,12.456166,12.439268,19,12.0,0
T000005_fold0_x1,2005-03-01,2004-12-01,14.893013,17.094408,16.764336,15.897512,15.503799,16.193106,14.576261,15.243383,14.042793,15.698073,11,16.0,0
T000005_fold0_x1,2005-04-01,2004-12-01,14.123634,14.606592,13.5427265,15.412438,15.178718,16.07818,14.07982,14.368376,14.490173,15.356574,18,12.0,0
T000005_fold0_x1,2005-05-01,2004-12-01,14.910763,15.254769,15.245178,15.025965,15.075289,15.526533,15.360901,15.581999,15.338829,16.348396,22,13.0,0
T000005_fold0_x1,2005-06-01,2004-12-01,14.540691,14.954017,14.93407,15.068041,14.475952,15.399329,14.008599,15.233406,14.890137,15.080502,18,14.0,0
T000005_fold0_x1,2005-07-01,2004-12-01,14.9537525,13.471458,13.183335,15.228544,16.590101,15.429566,14.693246,15.8158,14.291887,16.109722,15,17.0,0
T000005_fold0_x1,2005-08-01,2004-12-01,14.977098,12.995449,12.210994,15.344215,15.278511,15.606467,15.854604,15.635719,14.742536,16.418964,20,14.0,0
T000005_fold0_x1,2005-09-01,2004-12-01,13.912442,13.437265,14.26252,15.37109,14.4456835,14.615471,13.1097975,14.021372,13.610466,14.87439,17,10.0,0
T000005_fold0_x1,2005-10-01,2004-12-01,15.162422,13.519489,13.837171,15.354731,14.660119,16.87975,15.089791,15.154621,14.205149,16.089771,20,19.0,0
T000005_fold0_x1,2005-11-01,2004-12-01,15.071254,13.381824,13.617246,15.327015,14.716751,15.022998,13.652029,14.42181,14.07593,15.142516,12,14.0,0
T000005_fold0_x1,2005-12-01,2004-12-01,14.0201645,14.397039,13.848927,15.331965,13.574506,14.205186,13.381562,13.262062,12.628851,14.555402,21,10.0,0
T000006_fold0_x2,2005-01-01,2004-12-01,12.5492525,14.582651,15.065509,12.604778,11.359345,14.162809,13.519239,15.395648,12.435622,13.670239,10,11.0,0
T000006_fold0_x2,2005-02-01,2004-12-01,12.4162855,11.011315,11.860075,12.875673,10.7314625,14.3399315,11.447883,13.789756,11.400599,11.445136,11,8.0,0
T000006_fold0_x2,2005-03-01,2004-12-01,12.707416,13.601517,14.442259,13.567168,12.4675255,14.384076,13.372756,15.205875,12.085789,13.433708,14,9.0,0
T000006_fold0_x2,2005-04-01,2004-12-01,13.253109,11.432962,10.979345,13.712592,11.697217,14.084728,12.66006,14.206923,11.934956,12.740711,11,19.0,0
T000006_fold0_x2,2005-05-01,2004-12-01,13.67989,13.08377,12.473332,13.294522,13.111137,16.307514,14.391274,15.051775,12.6207,14.04597,15,15.0,0
T000006_fold0_x2,2005-06-01,2004-12-01,12.028521,13.687103,12.407934,12.952946,11.928354,14.282439,12.752301,14.856054,11.975584,13.196803,10,13.0,0
T000006_fold0_x2,2005-07-01,2004-12-01,11.932594,12.935057,13.4342575,12.443151,12.863947,15.675181,14.561277,15.754228,13.233416,14.737238,12,12.0,0
T000006_fold0_x2,2005-08-01,2004-12-01,11.398408,13.282717,13.891795,11.97105,13.429357,15.186175,14.645447,15.852364,13.070965,14.648421,12,14.0,0
T000006_fold0_x2,2005-09-01,2004-12-01,11.2576065,13.347051,13.305595,11.77492,11.609374,14.270407,13.170678,14.524164,12.330129,13.206411,15,12.0,0
T000006_fold0_x2,2005-10-01,2004-12-01,11.693995,13.5337925,14.001787,11.825953,11.665405,16.095737,13.552834,14.694579,12.30851,13.807756,21,12.0,0
T000006_fold0_x2,2005-11-01,2004-12-01,11.306146,10.69962,10.177222,12.069662,11.176736,14.001667,11.941326,13.773796,11.555309,12.199295,15,8.0,0
T000006_fold0_x2,2005-12-01,2004-12-01,12.879303,12.225921,12.313291,12.136185,11.8740015,15.941832,12.594531,14.315585,12.985864,12.665172,14,17.0,0
T000007_fold0_x3,2005-01-01,2004-12-01,13.128832,12.341923,12.238,11.65912,12.51859,13.193132,13.005593,13.938874,11.695418,13.163273,9,9.0,0
T000007_fold0_x3,2005-02-01,2004-12-01,14.939404,12.658945,13.167444,13.585936,12.923997,15.149781,11.954424,14.488369,13.5165415,12.059346,14,19.0,0
T000007_fold0_x3,2005-03-01,2004-12-01,13.834935,12.967986,13.034636,14.51101,12.9669285,16.372425,13.431687,14.408099,12.775754,14.323264,12,17.0,0
T000007_fold0_x3,2005-04-01,2004-12-01,13.168717,13.848855,13.890482,14.796013,13.907582,16.621967,12.388349,12.797214,12.764931,12.803209,14,9.0,0
T000007_fold0_x3,2005-05-01,2004-12-01,13.2453785,11.4161415,11.691289,13.906682,12.314412,15.378321,12.199218,11.41325,12.713399,12.803245,8,14.0,0
T000007_fold0_x3,2005-06-01,2004-12-01,12.708862,10.952178,10.799576,14.032152,11.458902,15.269407,11.626205,10.179868,10.671575,11.420065,12,10.0,0
