unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000005_fold0_x0,2005-01-01,2004-12-01,14.030661,12.734072,8.799512,13.374875,15.222845,12.314142,13.915778,11.667947,13.054651,12.204645,12,11.0,0
T000005_fold0_x0,2005-02-01,2004-12-01,13.423243,12.5946665,13.769646,13.582627,14.136229,12.217592,12.457643,13.932999,12.589228,12.126562,19,12.0,0
T000005_fold0_x0,2005-03-01,2004-12-01,14.986823,16.22732,11.045295,13.729688,16.638285,12.427214,15.083452,14.326847,14.440004,18.61258,11,16.0,0
T000005_fold0_x0,2005-04-01,2004-12-01,14.054669,15.16683,17.198208,13.76764,14.876375,12.28225,15.112297,16.607023,14.435467,15.21912,18,12.0,0
T000005_fold0_x0,2005-05-01,2004-12-01,14.743319,15.423986,14.096071,13.788525,15.754965,12.465014,16.007452,17.091318,15.471311,15.5617695,22,13.0,0
T000005_fold0_x0,2005-06-01,2004-12-01,14.000032,15.316576,14.827219,13.806789,14.617862,12.403983,16.90868,14.663341,14.735491,16.207355,18,14.0,0
T000005_fold0_x0,2005-07-01,2004-12-01,14.5359955,13.760673,13.374159,13.817488,16.019674,12.445929,13.336721,14.483981,14.251629,12.204758,15,17.0,0
T000005_fold0_x0,2005-08-01,2004-12-01,14.508804,12.557546,8.659268,13.822082,15.483956,12.397476,11.061856,14.270573,14.777688,14.71665,20,14.0,0
T000005_fold0_x0,2005-09-01,2004-12-01,13.383911,14.18939,10.549455,13.823763,15.40369,12.661562,14.124156,14.595952,14.266218,12.351312,17,10.0,0
T000005_fold0_x0,2005-10-01,2004-12-01,15.306324,13.561293,9.409072,13.824345,15.301238,12.806476,14.135965,15.552006,14.825323,18.824896,20,19.0,0
T000005_fold0_x0,2005-11-01,2004-12-01,14.826422,14.021154,10.732762,13.824543,15.165223,13.103099,16.102318,14.978945,13.834623,14.548252,12,14.0,0
