unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000001_fold0_x0,1985-02-28,1985-01-31,239.7979,213.21127,181.94183,260.49985,252.05087,255.86047,234.8622,238.46689,226.319,245.33618,277.88,131.1,0
T000001_fold0_x0,1985-03-31,1985-01-31,239.78577,199.34052,170.68932,261.2994,256.08096,287.95956,223.44302,231.5506,200.81131,240.80836,306.03,125.26,0
T000001_fold0_x0,1985-04-30,1985-01-31,230.14062,209.38861,195.05544,250.48114,245.8377,265.92712,234.8851,233.9134,196.69421,247.09352,308.76,121.02,0
T000001_fold0_x0,1985-05-31,1985-01-31,200.77647,194.1788,161.38873,245.88547,244.78174,292.74243,231.04393,222.13658,206.19893,243.18236,273.65,119.56,0
T000001_fold0_x0,1985-06-30,1985-01-31,221.10669,177.36162,159.88013,252.02986,248.61636,293.16772,214.83194,227.04883,179.92285,231.8924,264.44,119.31,0
T000001_fold0_x0,1985-07-31,1985-01-31,231.7216,200.15683,220.61871,262.20645,271.23337,317.9886,225.34224,241.78456,192.45471,238.00067,252.76,137.35,0
T000007_fold0_x1,1979-12-31,1979-11-30,695.3731,800.36676,750.82715,678.0057,629.44714,406.925,779.91455,446.088,681.06433,695.76874,539.0,552.0,0
T000007_fold0_x1,1980-01-31,1979-11-30,514.5009,485.76385,479.2846,719.43713,581.9503,446.0202,750.9603,382.1447,670.2346,719.216,557.0,463.0,0
T000007_fold0_x1,1980-02-29,1979-11-30,795.7764,799.53925,595.581,698.7859,669.8352,502.3913,736.08026,642.2593,692.7649,717.0612,656.0,679.0,0
T000007_fold0_x1,1980-03-31,1979-11-30,922.4074,874.1572,882.96936,698.60095,706.3142,663.5846,800.60175,705.3455,695.80255,738.91486,744.0,673.0,0
T000007_fold0_x1,1980-04-30,1979-11-30,809.26196,738.74927,863.69165,693.3709,757.71484,784.8728,766.4996,772.0568,683.96844,721.6684,618.0,699.0,0
T000007_fold0_x1,1980-05-31,1979-11-30,760.98804,842.65265,555.68335,696.2645,893.46857,687.6139,883.2497,757.66003,708.72595,740.9962,673.0,728.0,0
T000013_fold0_x2,1982-07-31,1982-06-30,1834.6879,1659.978,1179.3801,1796.469,1735.3092,1682.9553,1653.7344,1744.4287,1703.3262,1809.1273,1649.0,1632.0,0
T000013_fold0_x2,1982-08-31,1982-06-30,1822.0454,1527.6584,1157.8467,1628.1506,1862.2722,1544.3386,1748.0475,1669.5227,1584.5793,1810.2329,1756.0,1687.0,0
T000013_fold0_x2,1982-09-30,1982-06-30,1697.7484,1635.5651,1206.6394,1707.6759,1283.9084,1299.0004,1871.438,1301.9805,1581.1047,1837.7349,1105.0,1330.0,0
T000013_fold0_x2,1982-10-31,1982-06-30,1680.675,1464.9392,1284.9053,1735.5665,1396.585,1580.5264,1668.9012,1655.5964,1638.2336,1845.3159,1152.0,1760.0,0
T000013_fold0_x2,1982-11-30,1982-06-30,1845.8046,1456.0809,1180.4536,1682.296,1720.6943,1625.4226,1704.886,1708.5337,1546.6166,1764.1836,1207.0,1869.0,0
T000013_fold0_x2,1982-12-31,1982-06-30,1913.1057,1523.7538,1644.6588,1624.2568,1781.6658,1657.5803,1842.0112,1551.3961,1541.9705,1818.4795,1158.0,1524.0,0
T000015_fold0_x3,1977-12-31,1977-11-30,105.79992,106.21411,112.47232,86.84931,108.45213,82.88974,95.434784,101.33312,96.81572,93.819405,102.0,121.0,0
T000015_fold0_x3,1978-01-31,1977-11-30,111.12526,98.99724,116.04146,87.32502,103.90654,95.33084,94.73721,106.44669,101.6674,94.963715,92.0,135.0,0
T000015_fold0_x3,1978-02-28,1977-11-30,120.39459,121.00886,131.08437,87.967834,113.45371,97.6752,96.19961,111.891266,102.94344,94.73573,89.0,135.0,0
T000015_fold0_x3,1978-03-31,1977-11-30,120.755356,129.1491,143.4973,89.48634,109.212906,100.92892,98.48103,118.66695,100.940765,95.76671,93.0,138.0,0
T000015_fold0_x3,1978-04-30,1977-11-30,119.68928,109.96148,118.681595,90.84808,107.35986,106.737854,99.960884,109.44513,100.79267,95.29097,88.0,122.0,0
T000015_fold0_x3,1978-05-31,1977-11-30,121.548996,118.310265,108.14026,91.27576,109.612404,100.86176,101.72746,102.23215,101.384224,95.99054,95.0,124.0,0
T000017_fold0_x4,1984-10-31,1984-09-30,3651.033,3227.6462,2983.2576,3327.312,2251.8691,2796.9033,3695.4373,2609.5547,3340.1946,3479.8665,3011.7,1789.07,0
T000017_fold0_x4,1984-11-30,1984-09-30,3581.8516,3215.634,3657.3098,3437.401,3366.431,3450.7095,3286.881,2810.6868,3214.0483,3486.7139,2808.26,3177.25,0
T000017_fold0_x4,1984-12-31,1984-09-30,3114.3403,3814.7588,3030.9788,3757.7056,3011.3374,2961.7798,2945.481,2891.988,3160.005,3550.788,3843.41,3039.63,0
T000017_fold0_x4,1985-01-31,1984-09-30,3983.871,3954.5547,4113.0933,3711.6748,3566.3313,3442.4324,3892.6924,3468.9482,3180.9854,3572.9277,4338.05,2221.88,0
T000017_fold0_x4,1985-02-28,1984-09-30,3514.9429,4047.7183,4221.6016,3593.8428,4767.46,2700.1523,3225.3926,3035.1252,2672.6611,3379.1587,3941.14,2969.82,0
T000017_fold0_x4,1985-03-31,1984-09-30,3459.6196,3486.9072,2961.5322,3565.0994,3701.2993,2992.1484,3674.4695,2666.3018,3102.8096,3510.3354,3268.99,2610.81,0
