unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000005_fold0_x0,1979-12-31,1979-11-30,1202.1837,1225.1951,-182.64954,529.65686,1516.3533,1613.5942,165.73877,1295.3774,1658.7753,780.671,1800.0,1077.0,0
T000005_fold0_x0,1980-01-31,1979-11-30,2368.4048,2070.1714,-87.765686,338.59546,1745.9148,1604.1885,1258.3068,2537.1528,2450.108,1501.9854,2799.0,2011.0,0
T000005_fold0_x0,1980-02-29,1979-11-30,4402.4736,4227.7075,2502.3198,1511.0415,5008.328,4142.5786,3470.2192,4484.653,4155.125,1293.776,4701.0,4504.0,0
T000005_fold0_x0,1980-03-31,1979-11-30,5792.5684,4776.8525,3459.75,2738.9773,5744.0776,4213.1675,4519.8105,5509.931,5396.551,1126.9049,6427.0,6417.0,0
T000005_fold0_x0,1980-04-30,1979-11-30,5497.047,4785.264,2298.9968,3220.3052,4803.872,5555.747,3149.5918,5274.9688,5003.463,1893.377,6134.0,5253.0,0
T000005_fold0_x0,1980-05-31,1979-11-30,4227.0293,3063.3848,1988.9828,2618.8364,3542.2363,2431.3052,3213.5728,4362.2783,4209.0337,1908.89,5686.0,3564.0,0
T000007_fold0_x1,1979-12-31,1979-11-30,566.47675,686.2513,682.6774,816.58435,504.1209,715.2869,501.96713,517.13885,620.2979,699.49915,539.0,552.0,0
T000007_fold0_x1,1980-01-31,1979-11-30,546.64624,609.61255,513.9236,809.2654,-6.2177734,816.7486,459.10785,522.1344,691.8146,822.48663,557.0,463.0,0
T000007_fold0_x1,1980-02-29,1979-11-30,656.9076,810.5962,730.09753,1068.8807,368.15063,827.663,397.1672,775.8901,719.02106,787.14655,656.0,679.0,0
T000007_fold0_x1,1980-03-31,1979-11-30,693.2,979.2864,734.1895,1295.3835,295.76642,867.52576,485.81622,805.49603,711.6189,758.40594,744.0,673.0,0
T000007_fold0_x1,1980-04-30,1979-11-30,680.43774,615.11993,726.52454,1372.6729,418.1371,691.3876,707.0748,859.70667,721.4027,889.51855,618.0,699.0,0
T000007_fold0_x1,1980-05-31,1979-11-30,753.8655,921.84393,788.1961,1401.5541,600.1144,826.537,743.8141,836.0119,761.5431,891.9278,673.0,728.0,0
T000011_fold0_x2,1985-03-31,1985-02-28,26.150414,25.218513,25.9613,30.982761,32.105213,33.080334,27.010714,27.714083,31.37509,27.800499,28.2,20.3,0
T000011_fold0_x2,1985-04-30,1985-02-28,35.191612,33.359436,38.039833,32.332386,37.94786,41.32728,39.373314,32.860424,35.181885,30.754126,27.1,29.1,0
T000011_fold0_x2,1985-05-31,1985-02-28,30.626516,28.444876,28.680794,30.41655,32.341774,39.832497,25.491379,29.595617,34.603085,29.898148,22.2,24.6,0
T000011_fold0_x2,1985-06-30,1985-02-28,31.163218,28.846167,27.255299,31.698675,32.67361,37.33638,26.563612,32.179737,33.516674,29.19285,25.0,25.3,0
T000011_fold0_x2,1985-07-31,1985-02-28,39.22736,35.82711,40.135983,27.752396,39.585342,46.325645,42.24818,36.7871,35.253777,32.399483,28.7,36.2,0
T000011_fold0_x2,1985-08-31,1985-02-28,27.79791,31.95758,35.24488,24.565395,36.675106,33.73096,32.198574,32.17352,33.881428,32.420406,30.3,25.6,0
T000012_fold0_x3,1985-03-31,1985-02-28,18.62735,19.314295,18.481033,16.707401,21.746374,13.201133,18.076056,17.413433,22.615757,18.46193,20.4,19.2,0
T000012_fold0_x3,1985-04-30,1985-02-28,21.589254,20.72832,21.824444,16.838543,23.775173,18.196638,21.326035,20.206783,23.33457,19.954077,22.7,22.2,0
T000012_fold0_x3,1985-05-31,1985-02-28,21.403675,21.24387,21.135702,16.828167,21.114805,17.368242,16.823217,18.895092,20.652668,19.883715,18.4,23.2,0
T000012_fold0_x3,1985-06-30,1985-02-28,21.291914,21.044655,19.250153,17.253376,22.745424,14.56292,17.53688,19.68192,21.949364,19.087955,19.8,21.5,0
