unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
T000000,1980-06-30,1980-05-31,1157755.9,1225857.6,843056.9,757060.6,775622.7,771979.75,920680.0,1061523.2,1177801.8,1025196.9,516501.0,1179180.0
T000000,1980-07-31,1980-05-31,1648420.0,1530229.2,1279800.4,1108953.0,1205397.5,1182355.2,1636553.9,1049401.9,1189833.4,1402226.8,1378010.0,1939450.0
T000000,1980-08-31,1980-05-31,650021.0,923381.1,329055.75,421685.94,187692.6,285859.94,576024.3,997782.8,1199004.4,617586.75,840271.0,630177.0
T000000,1980-09-30,1980-05-31,1253802.8,1187576.4,553531.94,839397.06,649592.75,768971.0,590912.7,1111061.0,1176343.2,953408.1,437741.0,913313.0
T000000,1980-10-31,1980-05-31,1641690.8,1409201.4,649076.44,814183.75,996075.75,1027143.25,1427515.9,1165675.4,1144344.6,1103302.5,556951.0,1617990.0
T000000,1980-11-30,1980-05-31,610057.25,1068825.1,116379.5,391064.62,444202.2,582729.0,497163.25,1173897.6,1117915.1,841762.8,700000.0,622073.0
T000001,1985-08-31,1985-07-31,244.64632,252.52951,274.06427,258.63397,264.37036,262.9622,227.93831,260.02823,245.33661,290.68042,260.59,152.05
T000001,1985-09-30,1985-07-31,258.0825,252.53473,277.5068,281.45218,272.85596,277.81036,241.50893,258.6362,247.99734,303.49707,258.14,161.14
T000001,1985-10-31,1985-07-31,250.61575,252.79163,266.12558,285.52356,266.1575,265.92358,224.86215,258.4548,250.78104,287.27606,263.29,151.96
T000001,1985-11-30,1985-07-31,265.52066,252.94635,261.93887,283.46774,259.1354,289.29013,232.3089,262.19135,255.8223,298.04584,253.5,186.11
T000001,1985-12-31,1985-07-31,252.86469,253.05515,254.25964,298.5888,269.58835,282.394,242.64157,262.61777,262.80585,305.2727,256.08,188.91
T000001,1986-01-31,1985-07-31,287.57846,252.76697,247.99149,317.29044,266.3778,312.39185,289.98166,265.0408,269.24933,351.3111,249.28,256.66
T000002,1987-01-31,1986-12-31,786.94525,815.5712,940.0274,1033.6764,886.6015,800.5384,831.4801,803.1657,875.6442,804.55896,825.0,754.0
T000002,1987-02-28,1986-12-31,899.0538,851.83813,1050.862,1025.8666,869.4306,908.1631,823.1019,785.523,924.6496,845.5306,624.0,886.0
T000002,1987-03-31,1986-12-31,940.7271,863.9787,970.3081,989.9957,862.9314,897.52576,953.3689,801.39417,958.0714,920.9066,533.0,833.0
T000002,1987-04-30,1986-12-31,1032.5028,847.2537,1025.8688,1058.7727,902.4274,868.51385,965.3313,781.9101,974.38495,870.4128,611.0,859.0
T000002,1987-05-31,1986-12-31,860.10516,932.186,1101.7097,959.0316,905.0394,942.0618,803.3997,754.74133,981.81506,909.66986,698.0,1006.0
T000002,1987-06-30,1986-12-31,930.2384,909.94617,1101.9512,1033.648,902.1723,943.079,957.48047,790.56726,984.33734,951.3341,695.0,938.0
T000003,1982-02-28,1982-01-31,5168.0654,5798.834,5560.9224,4333.7324,4457.025,4518.9004,5159.549,4651.707,4485.168,5422.639,4010.0,8202.0
T000003,1982-03-31,1982-01-31,5535.502,6617.7417,5249.4463,4414.9873,4507.8584,4244.0967,5474.085,4597.2783,4581.3657,5335.516,3633.0,7582.0
T000003,1982-04-30,1982-01-31,5462.1704,6625.72,5438.4497,3443.715,4411.587,3960.6096,5028.6406,4590.593,4602.902,4824.7017,4680.0,6880.0
T000003,1982-05-31,1982-01-31,5944.5625,5831.74,5403.132,3609.433,4797.8975,4531.9365,5006.8887,4735.9697,4603.878,5110.283,4963.0,6841.0
T000003,1982-06-30,1982-01-31,5552.0415,6624.559,4980.108,3948.8997,4872.318,4546.965,5272.5117,4752.208,4564.781,5119.0156,5355.0,6618.0
T000003,1982-07-31,1982-01-31,4473.031,6630.6387,4908.217,2981.1147,4607.9175,4186.6826,4119.966,4847.05,4510.7256,4750.45,5060.0,5719.0
T000004,1986-12-31,1986-11-30,47.06039,47.69635,43.719685,44.95803,43.2643,44.63681,46.855164,42.46328,43.197838,45.21056,37.79,52.44
T000004,1987-01-31,1986-11-30,45.0691,46.946407,41.29218,43.750443,43.107166,43.983826,42.59416,42.273304,43.315746,43.98283,42.23,48.63
T000004,1987-02-28,1986-11-30,47.173164,46.71805,41.444866,45.539135,42.72288,42.86971,43.665077,42.503624,43.310448,43.198765,44.52,45.67
T000004,1987-03-31,1986-11-30,52.912727,47.730667,43.181046,43.53814,44.711697,44.96067,48.770973,41.75479,43.303555,45.144962,43.13,49.56
T000004,1987-04-30,1986-11-30,44.284615,44.962788,38.914013,46.98374,44.80284,41.492493,43.78494,41.231262,43.30197,41.979225,43.29,44.56
T000004,1987-05-31,1986-11-30,41.996403,45.74769,41.726368,43.984898,43.83677,42.387012,44.392456,41.646683,43.25779,43.520817,42.65,46.32
T000005,1980-06-30,1980-05-31,6161.6826,3925.6238,5384.697,4461.4434,4814.5044,4821.341,6120.648,5413.8037,4799.5093,5242.6787,5056.0,3464.0
T000005,1980-07-31,1980-05-31,4850.1367,2873.657,4277.8066,3588.2783,4396.4785,5090.207,4955.581,5284.495,3832.968,4469.7944,4157.0,2557.0
T000005,1980-08-31,1980-05-31,3405.6538,2186.2183,3283.5586,1870.7777,1470.1006,3536.5547,4560.134,5436.0825,2973.9746,3941.8901,2880.0,1927.0
T000005,1980-09-30,1980-05-31,4126.082,1665.7145,2066.5884,1601.825,2052.9988,3445.9922,3733.984,4973.388,2088.9978,3144.2717,1754.0,984.0
T000005,1980-10-31,1980-05-31,4179.8022,1073.1238,1909.7534,949.9907,1240.6365,2474.9749,3830.622,4637.162,1982.4053,2983.6106,972.0,699.0
T000005,1980-11-30,1980-05-31,2942.4036,1718.8767,2037.1202,1103.52,534.36035,2033.1396,4940.7954,4917.3604,2149.3892,2488.2507,909.0,708.0
T000006,1980-06-30,1980-05-31,197854.9,198425.47,169494.88,176647.38,158276.53,170385.98,189982.34,178445.17,166512.8,179687.12,162622.0,139844.0
T000006,1980-07-31,1980-05-31,146504.4,145842.47,141423.5,139231.97,116736.34,146085.6,152454.88,175927.4,155386.25,144447.73,110771.0,99098.0
T000006,1980-08-31,1980-05-31,165886.69,169590.45,140505.89,139852.12,134337.47,156648.12,177634.23,178881.62,151003.33,174692.83,170540.0,123147.0
T000006,1980-09-30,1980-05-31,204072.06,173445.16,163086.22,144985.9,149837.97,186322.83,182756.58,169848.31,145834.12,179601.56,191787.0,136589.0
T000006,1980-10-31,1980-05-31,169122.73,151908.22,130185.766,118424.8,132092.44,146864.02,161031.14,163291.31,144938.88,164855.89,144563.0,109528.0
