unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000004_fold0_x0,1986-07-31,1986-04-30,671590.2,654104.25,666911.75,743556.56,707218.9,665999.8,639139.75,662840.94,647569.2,743250.1,691346.0,582417.0,0
T000004_fold0_x0,1986-10-31,1986-04-30,694463.2,629064.5,656552.94,748697.44,723118.75,672783.56,694146.9,731496.9,648664.4,750661.0,745667.0,634526.0,0
T000004_fold0_x0,1987-01-31,1986-04-30,707077.6,591046.94,581868.5,749111.0,651415.9,714209.1,755460.25,736286.44,650114.75,774716.6,722636.0,711326.0,0
T000004_fold0_x0,1987-04-30,1986-04-30,704082.75,638462.9,589905.56,749464.7,706818.4,704793.2,693208.8,786882.1,651750.0,794244.8,701800.0,654071.0,0
T000007_fold0_x1,1989-10-31,1989-07-31,163.71254,157.59648,164.9931,183.06673,157.15198,150.14777,166.78679,171.95326,143.15884,197.08334,156.15,138.45,0
T000007_fold0_x1,1990-01-31,1989-07-31,174.41356,167.0824,176.53375,186.04424,170.5773,151.5989,167.6725,176.49178,144.06685,200.31313,172.8,148.86,0
T000007_fold0_x1,1990-04-30,1989-07-31,150.45901,135.3213,135.61783,185.85297,129.17453,160.93983,166.50888,143.01175,142.64503,210.78615,169.68,125.96,0
T000007_fold0_x1,1990-07-31,1989-07-31,156.08273,146.2615,156.20287,185.89647,153.89087,158.7878,188.65295,167.61075,143.65834,219.29521,167.6,160.31,0
T000016_fold0_x2,1986-10-31,1986-07-31,565528.25,565053.06,547788.1,628998.4,581594.0,527080.25,522712.0,540136.5,503375.9,587027.8,548596.0,429054.0,0
T000016_fold0_x2,1987-01-31,1986-07-31,595477.44,523721.12,568055.94,632632.25,615212.7,532447.0,569685.25,544809.75,505015.56,589336.94,572670.0,464296.0,0
T000016_fold0_x2,1987-04-30,1986-07-31,603032.1,500785.8,472481.06,633556.5,513880.9,565231.2,570899.9,552428.06,506143.38,596930.3,592558.0,562216.0,0
T000016_fold0_x2,1987-07-31,1986-07-31,578218.9,480980.75,445321.7,633669.1,552622.1,557782.0,552450.94,640516.0,510742.06,603025.75,561684.0,547908.0,0
T000017_fold0_x3,1986-10-31,1986-07-31,120818.91,120807.78,119934.47,121666.81,121871.16,134136.84,117842.02,113650.766,125526.37,131380.55,131388.0,123091.0,0
T000017_fold0_x3,1987-01-31,1986-07-31,121666.18,129288.22,109202.94,122687.99,124392.8,135503.53,129350.21,128166.53,125533.945,132394.52,130712.0,131362.0,0
T000017_fold0_x3,1987-04-30,1986-07-31,121493.97,124794.08,110227.34,122755.28,124469.51,143850.56,140821.72,125609.93,125647.49,135711.22,130036.0,130534.0,0
T000017_fold0_x3,1987-07-31,1986-07-31,120191.8,125881.234,114985.195,122937.24,131353.06,141949.52,136428.2,120568.84,125021.59,138386.36,135511.0,117287.0,0
T000019_fold0_x4,1986-10-31,1986-07-31,529677.44,412427.53,516135.5,718494.6,585065.6,556452.2,514190.5,572197.0,541319.44,789590.56,521386.0,426349.0,0
T000019_fold0_x4,1987-01-31,1986-07-31,634543.56,408144.22,503083.56,737009.25,605061.56,562099.44,510794.06,616545.0,544543.1,811841.8,581109.0,522348.0,0
T000019_fold0_x4,1987-04-30,1986-07-31,720638.3,457908.62,605663.6,738466.6,601359.5,596721.9,736958.6,623947.4,545736.44,883638.1,619826.0,640404.0,0
T000019_fold0_x4,1987-07-31,1986-07-31,851331.0,587043.1,553129.9,738437.94,605824.0,588862.56,576267.44,683323.44,549207.44,942198.25,564637.0,564309.0,0
T000021_fold0_x5,1988-10-31,1988-07-31,142889.19,139811.6,137854.38,148292.61,139586.38,143321.53,140522.69,141782.94,137428.1,156866.8,144997.0,119038.0,0
