unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
T000000,1986-10-31,1986-07-31,1.5267975,0.96505547,0.42740083,2.9304557,0.80509275,1.0721545,1.7533762,2.2877939,2.0409515,1.4950103,3.09,0.72
T000000,1987-01-31,1986-07-31,1.9616666,0.9767388,2.2243662,3.2685406,1.7339369,1.0532799,5.645937,2.8253093,2.8079815,2.5987844,4.11,0.94
T000000,1987-04-30,1986-07-31,3.971093,0.977075,1.6545258,3.0447543,2.5740168,1.0931783,4.523692,3.296902,3.1058276,4.5714955,5.1,1.14
T000000,1987-07-31,1986-07-31,1.8625168,0.9895846,2.749929,2.7280853,3.4130855,1.0402603,5.5435143,3.5934,3.1544604,4.180014,4.3,1.03
T000001,1990-10-31,1990-07-31,119.01691,115.5431,123.73788,107.201744,114.83749,119.49828,116.14785,117.51271,117.36807,125.58092,147.0,109.0
T000001,1991-01-31,1990-07-31,116.09479,115.59739,116.52765,108.12698,113.5398,118.32262,120.27963,121.53143,121.06878,121.70418,160.0,110.0
T000001,1991-04-30,1990-07-31,127.68153,116.000145,120.93169,109.97584,113.0947,124.08745,121.630806,122.92464,122.16491,124.36578,201.0,123.0
T000001,1991-07-31,1990-07-31,118.52191,116.394295,126.423775,116.2594,118.744354,123.04994,123.99715,125.7646,122.33553,130.0567,214.0,118.0
T000002,1988-10-31,1988-07-31,248.02722,246.5665,252.25496,245.08018,199.46094,245.36925,193.85577,251.67686,233.23149,195.16574,153.0,191.0
T000002,1989-01-31,1988-07-31,253.63924,248.04352,248.96165,247.09645,209.5319,249.73389,217.02367,264.39508,247.26567,250.95749,323.0,288.0
T000002,1989-04-30,1988-07-31,275.31522,248.64604,254.7981,251.35362,212.70988,286.23175,215.3687,276.8832,252.71628,276.72726,330.0,289.0
T000002,1989-07-31,1988-07-31,286.94055,247.73624,264.15726,265.50122,251.4577,262.8714,231.00803,283.3733,253.6063,306.53848,318.0,214.0
T000003,2003-07-31,2003-04-30,38247.535,35374.516,45613.85,37036.992,44095.06,42658.08,44580.82,43475.402,40234.453,43998.773,43695.3,36465.9
T000003,2003-10-31,2003-04-30,40444.008,35764.766,40231.07,37328.547,41822.496,41797.44,40021.953,45782.707,42473.42,39174.75,35105.7,27207.9
T000003,2004-01-31,2003-04-30,42249.848,36366.383,40637.984,37974.484,43091.746,42525.17,41964.543,47167.36,43242.38,43466.07,41235.1,36602.0
