unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
T000000,1986-10-31,1986-07-31,3.3217595,1.1054016,0.46746886,1.2656239,0.80509275,0.96061003,1.7533762,1.8459517,1.6687565,0.47097242,3.09,0.72
T000000,1987-01-31,1986-07-31,3.7132528,1.3072081,-0.9355912,1.6855088,1.7339369,1.4398175,5.645937,2.175571,1.8716747,2.538663,4.11,0.94
T000000,1987-04-30,1986-07-31,2.1591625,1.4054555,-0.00993371,1.108902,2.5740168,2.0696313,4.523692,2.2315872,2.0550218,2.2742047,5.1,1.14
T000000,1987-07-31,1986-07-31,2.5489576,1.7488285,-0.71593,1.7993662,3.4130855,1.9118276,5.5435143,2.5498655,2.336075,3.4101706,4.3,1.03
T000001,1990-10-31,1990-07-31,105.23196,118.013916,118.83981,117.79424,114.83749,125.07102,116.14785,115.991974,117.82028,121.261345,147.0,109.0
T000001,1991-01-31,1990-07-31,99.01709,118.47186,131.07086,116.354614,113.5398,126.4893,120.27963,119.04375,118.43522,116.93073,160.0,110.0
T000001,1991-04-30,1990-07-31,99.989265,118.01043,136.30444,121.36544,113.0947,133.29446,121.630806,120.51532,120.41718,121.70445,201.0,123.0
T000001,1991-07-31,1990-07-31,101.37064,118.00233,140.20578,121.846756,118.744354,129.25781,123.99715,123.99399,122.72748,123.52175,214.0,118.0
T000002,1988-10-31,1988-07-31,283.14838,202.71039,131.57874,243.70961,199.46094,212.82076,193.85577,246.74606,258.32855,241.03438,153.0,191.0
T000002,1989-01-31,1988-07-31,280.0125,285.20325,280.34955,321.19592,209.5319,239.72118,217.02367,263.8128,353.01312,235.83011,323.0,288.0
T000002,1989-04-30,1988-07-31,268.00226,285.75354,239.90073,333.25296,212.70988,263.8617,215.3687,265.87616,353.5887,255.95486,330.0,289.0
T000002,1989-07-31,1988-07-31,211.95697,284.7117,251.58707,245.34729,251.4577,260.94098,231.00803,278.4094,308.68793,249.64034,318.0,214.0
T000003,2003-07-31,2003-04-30,41206.79,45233.098,44422.08,52760.156,44095.06,40545.707,44580.82,42480.02,38476.273,40953.582,43695.3,36465.9
T000003,2003-10-31,2003-04-30,42183.68,35785.62,42353.42,47981.996,41822.496,41213.87,40021.953,44589.77,41058.03,36851.277,35105.7,27207.9
T000003,2004-01-31,2003-04-30,40015.145,46240.703,50507.4,50513.25,43091.746,45241.402,41964.543,45636.094,50104.426,37420.066,41235.1,36602.0
T000003,2004-04-30,2003-04-30,41434.76,48243.004,51859.508,44909.57,44348.496,46405.016,37606.574,48311.89,52398.582,38078.93,46557.6,40931.4
T000004,1987-07-31,1987-04-30,671883.7,702593.56,705771.06,725918.56,734435.06,753483.2,736396.94,718913.56,709687.4,761746.3,741918.0,691346.0
T000004,1987-10-31,1987-04-30,674908.0,733102.3,786739.44,716329.25,745555.1,747458.94,750746.5,737497.1,713198.75,737232.4,791015.0,745667.0
T000004,1988-01-31,1987-04-30,719893.0,740457.1,747889.56,707617.94,741549.1,663118.0,731488.06,746184.9,734302.44,757885.7,772214.0,722636.0
T000004,1988-04-30,1987-04-30,695090.25,737989.44,745063.4,752690.2,706950.9,754997.1,738604.75,762827.5,754807.8,772634.5,818797.0,701800.0
T000005,1987-10-31,1987-07-31,562.1252,525.57056,576.88416,508.20822,669.9777,603.5852,574.5782,583.3606,573.83374,612.0638,656.69,521.39
