unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000004_fold0_x0,1987-07-31,1987-04-30,714982.75,732248.75,695657.0,711806.7,713898.2,779756.94,705078.2,729783.75,701800.0,711839.56,741918.0,691346.0,0
T000004_fold0_x0,1987-10-31,1987-04-30,747370.06,742084.9,707641.44,717033.0,720172.6,742402.4,722592.06,765570.3,701802.7,724106.56,791015.0,745667.0,0
T000019_fold0_x1,1987-10-31,1987-07-31,576190.1,599123.5,571399.94,565711.94,596681.8,634980.25,565927.3,580221.94,564637.0,590900.8,656687.0,521386.0,0
T000019_fold0_x1,1988-01-31,1987-07-31,625905.7,608388.56,582274.8,574580.2,613301.1,604684.5,598345.56,625236.56,564644.1,587506.7,701198.0,581109.0,0
T000020_fold0_x2,1980-10-31,1980-07-31,122281.66,124881.664,122690.85,123110.33,122829.82,133553.27,122408.65,124201.9,122262.0,122628.08,122630.0,119101.0,0
T000020_fold0_x2,1981-01-31,1980-07-31,119257.88,124163.82,121904.98,123790.305,123556.01,127090.164,123997.58,124543.92,122261.99,122193.88,123516.0,116187.0,0
T000026_fold0_x3,1985-10-31,1985-07-31,295.7082,257.72382,250.22183,268.78006,283.4004,280.2149,279.53665,276.51794,268.3,287.21054,297.9,298.49,0
T000026_fold0_x3,1986-01-31,1985-07-31,299.37677,267.73724,256.91092,276.80618,302.71255,266.70648,297.61063,292.93146,268.2997,296.47137,258.2,305.65,0
T000031_fold0_x4,1985-10-31,1985-07-31,487.6477,441.60272,433.7035,452.52606,478.96497,492.19653,471.3852,466.4609,457.29,482.90405,467.76,492.06,0
T000031_fold0_x4,1986-01-31,1985-07-31,489.31854,454.57678,439.839,462.63412,506.68542,468.6185,493.558,483.67877,457.2896,489.71283,447.23,493.8,0
T000037_fold0_x5,1987-10-31,1987-07-31,39196.133,35967.926,38568.957,34709.766,35348.758,33032.375,35508.016,38695.074,35165.0,36855.406,42445.0,19634.0,0
T000037_fold0_x5,1988-01-31,1987-07-31,33268.016,31443.457,35684.49,37273.805,35583.766,31443.852,43648.0,31217.73,35164.996,34819.242,43095.0,10334.0,0
T000050_fold0_x6,1973-10-31,1973-07-31,168.8839,169.08334,166.36932,180.4379,173.67723,192.92981,162.5118,157.74763,158.00002,162.33215,197.0,196.0,0
T000050_fold0_x6,1974-01-31,1973-07-31,170.26518,176.4595,168.91962,184.20084,181.80783,183.7007,174.34424,159.69713,158.00348,179.19003,154.0,193.0,0
T000052_fold0_x7,1978-10-31,1978-07-31,41.082333,39.720963,41.319584,40.82907,41.161278,45.49034,40.1284,38.338333,40.0,40.452362,32.0,40.0,0
T000052_fold0_x7,1979-01-31,1978-07-31,42.385376,42.46927,44.147964,41.080223,41.763542,43.446835,41.039402,41.846245,40.00026,41.125034,39.0,42.0,0
T000053_fold0_x8,1978-10-31,1978-07-31,72.275314,69.71605,70.708244,71.29301,73.03428,80.2725,72.657074,59.513817,72.0,73.673744,61.0,70.0,0
T000053_fold0_x8,1979-01-31,1978-07-31,76.98677,74.327576,74.55393,71.96653,74.357025,76.53295,74.42283,72.07948,71.999985,74.21535,72.0,76.0,0
