unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000002_fold0_x0,1988-10-31,1988-07-31,240.35011,229.11942,207.47865,282.5193,187.61798,217.19768,268.8283,226.02364,263.87988,219.18718,153.0,191.0,0
T000002_fold0_x0,1989-01-31,1988-07-31,302.65387,258.20303,223.1615,294.29773,290.07272,266.30966,280.69324,227.89258,254.18195,228.35008,323.0,288.0,0
T000007_fold0_x1,1990-10-31,1990-07-31,169.07332,167.27745,166.71071,170.68472,173.92522,159.72632,174.7063,168.00201,168.98332,167.74387,182.17,156.15,0
T000007_fold0_x1,1991-01-31,1990-07-31,177.18974,172.69014,170.44592,170.90138,181.91277,160.53824,179.24725,170.9043,168.71437,167.99799,182.17,172.8,0
T000008_fold0_x2,1987-07-31,1987-04-30,4484.1553,3392.529,3692.508,2502.7322,3977.5444,5559.3984,4220.624,4008.2053,3711.9841,3682.283,4139.0,3203.0,0
T000008_fold0_x2,1987-10-31,1987-04-30,3958.6802,2833.8962,3432.933,4782.091,4743.6816,4481.5645,5067.38,4047.5894,3711.998,3489.3818,2957.0,2098.0,0
T000012_fold0_x3,1993-10-31,1993-07-31,676.80383,635.3287,642.6439,705.3655,669.70386,680.53876,624.6516,667.36066,638.9998,638.6805,613.0,475.0,0
T000012_fold0_x3,1994-01-31,1993-07-31,712.5981,633.06244,638.4099,751.31885,668.9181,704.02856,693.5401,715.89526,639.0,636.60626,678.0,512.0,0
T000018_fold0_x4,1987-10-31,1987-07-31,34889.86,31313.592,31240.22,29127.65,30003.324,36116.82,35145.117,34790.914,31184.984,31154.963,33170.0,16380.0,0
T000018_fold0_x4,1988-01-31,1987-07-31,38751.73,31405.678,30813.697,31516.898,36408.84,37320.26,42417.367,35392.72,31184.998,30959.988,35500.0,20976.0,0
T000023_fold0_x5,1989-07-31,1989-04-30,1139.5059,1039.4695,846.80554,1120.5491,1339.6421,909.15063,1261.421,990.29553,1140.3516,899.0107,931.0,1185.0,0
T000023_fold0_x5,1989-10-31,1989-04-30,1290.6737,1109.0509,912.9732,1228.2363,1344.6592,959.04376,1367.4496,1021.55963,1087.9828,948.4906,1082.0,1427.0,0
T000026_fold0_x6,1985-10-31,1985-07-31,287.18802,266.8128,262.2011,279.9232,203.6541,264.0229,300.63477,268.02936,268.29974,267.81738,297.9,298.49,0
T000026_fold0_x6,1986-01-31,1985-07-31,299.9248,264.14877,265.82053,282.18323,267.28238,289.39487,310.57446,271.01477,268.29996,264.6846,258.2,305.65,0
T000027_fold0_x7,1983-04-30,1983-01-31,7.853711,5.4495125,7.6211066,6.4336495,7.961379,5.798089,9.668957,7.7883615,6.3999853,6.3724537,12.7,12.0,0
T000027_fold0_x7,1983-07-31,1983-01-31,6.5068226,5.381552,9.287721,4.5950284,5.7001343,8.113929,10.73311,7.871022,6.399998,6.1936426,4.8,5.3,0
T000030_fold0_x8,1995-04-30,1995-01-31,376.08182,350.94058,374.77576,301.35696,235.81705,315.88162,388.5745,380.2643,392.9989,390.95056,389.0,250.0,0
T000030_fold0_x8,1995-07-31,1995-01-31,452.83817,344.06784,372.57358,428.75525,379.35767,338.49652,424.28708,388.11823,392.99988,377.64703,356.0,333.0,0
T000031_fold0_x9,1985-10-31,1985-07-31,484.0734,453.6416,450.1192,464.8883,418.56796,468.0172,497.62128,454.30215,457.28964,456.5973,467.76,492.06,0
T000031_fold0_x9,1986-01-31,1985-07-31,495.7291,449.76273,452.70517,490.157,446.3434,484.68158,510.07385,484.89862,457.28998,452.10052,447.23,493.8,0
T000034_fold0_x10,1987-07-31,1987-04-30,492.03516,432.5681,458.34106,545.2299,422.54745,578.8242,503.1249,531.80945,455.9987,453.54285,839.0,312.0,0
T000034_fold0_x10,1987-10-31,1987-04-30,482.367,388.0526,435.5548,668.7799,542.29755,582.95435,614.82153,546.70013,455.99982,437.59293,1650.0,244.0,0
T000035_fold0_x11,1924-01-31,1923-10-31,24848.572,24258.469,24010.768,24205.783,23678.838,23169.16,23830.21,24428.467,24114.996,24106.648,23087.0,20843.0,0
T000035_fold0_x11,1924-04-30,1923-10-31,25783.762,24492.346,23998.066,25086.867,26055.336,24645.225,24753.086,24975.746,24115.0,24052.432,25394.0,22523.0,0
T000042_fold0_x12,1990-10-31,1990-07-31,2481.1387,2321.1938,2365.188,2475.6685,2393.574,2398.4583,2438.392,2338.5964,2363.998,2360.507,2038.0,2390.0,0
T000042_fold0_x12,1991-01-31,1990-07-31,2362.2146,2275.459,2334.9932,2418.9905,2193.639,2314.9517,2499.2258,2350.3713,2363.9998,2337.834,1812.0,2205.0,0
