unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000005_fold0_x0,1993-09-30,1993-08-31,2395.7234,2405.8516,2203.0518,2316.1562,2027.1682,1819.1475,1363.3923,2254.7246,2784.641,1165.3134,1350.0,2550.0,0
T000005_fold0_x0,1993-10-31,1993-08-31,1842.5267,1350.7743,1126.0574,1728.9734,1048.8812,2072.8083,1263.8702,1785.2249,2080.944,1587.4069,2100.0,1350.0,0
T000005_fold0_x0,1993-11-30,1993-08-31,2151.6526,1970.5264,1431.7083,1938.4983,1273.0021,2509.685,1540.1411,1820.5463,2592.3572,1767.2194,1800.0,3150.0,0
T000005_fold0_x0,1993-12-31,1993-08-31,2105.4316,1574.0623,1068.3376,1965.1266,1470.2507,2301.2778,1414.6863,1684.2888,1814.9855,2362.1467,6750.0,1500.0,0
T000005_fold0_x0,1994-01-31,1993-08-31,1911.3932,1377.8345,1915.564,1879.8269,1357.0448,2692.2852,1770.2188,1327.3243,2558.1619,2384.9602,2400.0,3150.0,0
T000005_fold0_x0,1994-02-28,1993-08-31,2560.5044,1968.1649,2524.7961,1844.0259,1731.5983,2594.6924,1922.6161,1761.4062,2685.2236,2358.7793,4200.0,3150.0,0
T000005_fold0_x0,1994-03-31,1993-08-31,2105.7917,1683.7546,2214.5647,1880.6606,1305.9507,2306.977,1637.5753,1510.7987,2158.2786,2463.399,450.0,1500.0,0
T000005_fold0_x0,1994-04-30,1993-08-31,2363.3174,1570.277,2911.2212,1917.3387,1947.1545,2929.5276,2210.9353,1515.2019,3139.812,2383.6672,2400.0,3150.0,0
T000005_fold0_x0,1994-05-31,1993-08-31,2475.8264,1629.744,2494.3784,1930.607,1976.2736,2549.902,1972.269,1798.6368,3389.2856,2156.5479,3000.0,2550.0,0
T000005_fold0_x0,1994-06-30,1993-08-31,2563.84,1734.9933,2827.835,1946.6506,1786.9032,2515.6904,2017.4025,1802.5028,2252.0337,1700.5942,1650.0,2250.0,0
T000005_fold0_x0,1994-07-31,1993-08-31,2494.396,1868.4265,2993.0747,1960.5764,2332.3054,2632.469,2203.5566,1713.1835,3700.1797,1456.3413,1950.0,3750.0,0
T000005_fold0_x0,1994-08-31,1993-08-31,1805.7458,1369.9568,2167.6726,1968.7493,1585.6909,1497.2073,1107.2006,1687.1193,451.11133,962.4025,750.0,450.0,0
T000012_fold0_x1,1993-09-30,1993-08-31,2758.6907,3030.1663,2826.128,2637.684,3070.2002,2830.4482,2664.1555,3339.4312,2495.9568,2254.48,550.0,4950.0,0
T000012_fold0_x1,1993-10-31,1993-08-31,3175.481,3018.9705,3062.7495,2220.889,3557.9253,3404.603,2509.8293,3372.3525,2052.8384,2324.4082,3950.0,2200.0,0
T000012_fold0_x1,1993-11-30,1993-08-31,3278.4094,2569.967,2606.3757,2601.5706,2988.738,3086.09,2576.6533,3558.115,2503.0745,2389.4514,550.0,4850.0,0
