unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
T000000,1994-09-30,1994-08-31,2097.3242,2706.245,2842.7004,2078.8843,2453.6934,2725.7654,3016.9448,2484.4705,1744.477,2780.2136,1560.0,4800.0
T000000,1994-10-31,1994-08-31,1935.4033,2156.0,1693.8822,2141.4614,1673.9418,2011.582,2050.2305,2547.7126,1933.4706,1790.7722,1440.0,3000.0
T000000,1994-11-30,1994-08-31,2169.617,2230.92,3087.8396,2215.9634,2486.087,3145.82,3061.0354,2649.52,2337.4155,2509.692,240.0,3120.0
T000000,1994-12-31,1994-08-31,2420.4302,4299.865,2899.7239,3009.8176,2110.5654,2918.6797,2189.6277,2659.2925,2243.4353,4161.564,1800.0,5880.0
T000000,1995-01-31,1994-08-31,1770.527,2141.5576,1770.6879,1755.1332,1357.9175,2004.2305,1603.8556,2535.8442,1868.8254,2171.6836,4680.0,2640.0
T000000,1995-02-28,1994-08-31,2120.9707,1950.6237,2664.9302,1628.75,1867.7731,2672.66,1341.2728,2418.8604,1678.7799,3015.8801,1800.0,2400.0
T000000,1995-03-31,1994-08-31,1844.2529,1985.5902,1763.6345,1993.7103,1495.2971,1623.8263,1881.7244,2241.4521,1588.1237,2179.13,1680.0,2280.0
T000000,1995-04-30,1994-08-31,1589.5314,1250.2275,1998.5847,1008.8721,1189.4551,1842.6849,1371.664,2066.1006,1467.6703,2302.6226,3720.0,480.0
T000000,1995-05-31,1994-08-31,2840.7288,1947.4667,2711.7998,2172.24,1528.7971,1996.6506,2416.5095,2045.3125,1404.0354,1756.791,2160.0,5040.0
T000000,1995-06-30,1994-08-31,1834.5363,1994.5322,1713.3896,1179.717,1218.5764,1483.9861,1733.4456,2069.518,1395.2263,2495.0903,480.0,1920.0
T000000,1995-07-31,1994-08-31,1572.5216,1665.3795,1484.1794,1432.7832,821.4446,2393.1904,943.48315,2114.0342,1425.2855,1997.7394,2040.0,840.0
T000000,1995-08-31,1994-08-31,2285.9204,2506.9385,1712.4083,2053.0957,736.2688,1508.1503,2534.6619,2320.7258,1542.4656,2759.5808,1440.0,2520.0
T000001,1994-09-30,1994-08-31,694.8635,647.7619,949.7896,816.99695,897.4047,976.5851,819.452,635.353,824.3569,756.13544,960.0,1320.0
T000001,1994-10-31,1994-08-31,836.84015,904.7157,1116.407,1096.2992,1015.48694,954.7254,624.6643,739.26135,579.13794,936.6235,1320.0,2160.0
T000001,1994-11-30,1994-08-31,620.7676,921.2775,880.9787,942.21277,837.27454,711.35956,848.5195,783.11804,779.1333,1204.3877,1080.0,1200.0
T000001,1994-12-31,1994-08-31,878.97595,1247.7794,1212.2698,1090.9551,885.6893,784.92896,738.8513,977.1405,840.92706,1003.38214,1680.0,1800.0
T000001,1995-01-31,1994-08-31,720.57666,1113.819,747.0388,1070.8069,773.4251,989.052,580.51355,1077.5366,777.8514,1083.584,1080.0,1320.0
T000001,1995-02-28,1994-08-31,599.1072,887.804,958.29706,678.7659,763.2851,866.8662,258.3769,1070.2593,719.9709,891.94617,840.0,600.0
T000001,1995-03-31,1994-08-31,920.2805,1201.2368,883.55084,1124.3557,773.9111,845.15594,453.50684,1131.5247,653.56506,1182.9318,840.0,1440.0
T000001,1995-04-30,1994-08-31,808.6972,854.1758,641.3914,1035.0237,502.1344,943.48944,595.917,1089.905,613.3123,1147.6179,600.0,840.0
T000001,1995-05-31,1994-08-31,1016.6558,1349.8457,1065.3069,1231.4806,1269.4924,728.10645,973.7729,994.7879,582.6414,838.2683,1320.0,1440.0
T000001,1995-06-30,1994-08-31,1048.0533,1408.4302,966.5047,1011.83484,879.97906,1043.8508,1070.9471,887.10474,537.6681,1038.1143,1320.0,1560.0
T000001,1995-07-31,1994-08-31,778.9398,1115.2109,1555.5177,820.84875,994.438,1264.4922,597.9646,785.84503,516.8224,806.42676,2280.0,1080.0
T000001,1995-08-31,1994-08-31,606.5431,567.65515,636.07935,902.2152,565.6386,866.34546,635.4896,655.87946,553.9251,1119.5415,1440.0,360.0
T000002,1994-09-30,1994-08-31,6303.037,5957.1255,7066.9746,6197.957,6036.1094,5842.155,6633.0503,6099.5664,6203.3057,6199.0874,4650.0,8760.0
T000002,1994-10-31,1994-08-31,5943.802,5922.7227,6141.1855,5657.3867,5946.658,5362.6694,5659.0405,6100.533,6778.6406,6573.9805,2550.0,5610.0
T000002,1994-11-30,1994-08-31,5898.809,5847.0063,6810.9727,5897.289,6193.544,5396.038,6244.6924,6256.5073,7103.6836,6685.868,8640.0,6090.0
T000002,1994-12-31,1994-08-31,5647.6646,5694.338,6562.157,5453.736,6135.4995,5966.143,5750.583,5911.7114,7268.665,5046.7046,7680.0,4980.0
T000002,1995-01-31,1994-08-31,6093.114,6171.119,6728.8223,7218.9194,6310.0747,6164.975,5452.3716,5473.893,7290.565,6338.1196,6720.0,7680.0
T000002,1995-02-28,1994-08-31,5593.9717,5297.559,6832.347,6223.068,6044.938,6311.507,5916.0356,5212.4956,7174.21,6080.5225,5190.0,5550.0
T000002,1995-03-31,1994-08-31,5580.2964,5550.726,6646.5483,7006.4834,5655.8916,5582.26,5283.9297,4653.8193,6975.492,6424.1343,5190.0,6540.0
T000002,1995-04-30,1994-08-31,4989.3994,5385.813,5653.466,5381.0205,5316.5913,4857.8003,4831.3066,4229.588,6841.948,5698.747,5910.0,4920.0
T000002,1995-05-31,1994-08-31,4298.3643,4558.58,5504.9375,3250.1785,5311.6187,4320.1562,3959.4143,4279.538,6721.4873,4388.7124,4800.0,1710.0
T000002,1995-06-30,1994-08-31,4995.6,6009.3535,5420.618,5493.4546,5188.2773,4338.3516,4912.487,4532.9844,6639.8145,4956.8975,5640.0,3420.0
T000002,1995-07-31,1994-08-31,5948.874,5722.655,5725.8813,6397.6475,4886.017,5308.331,5560.5957,4982.427,6626.0347,5407.077,5790.0,5910.0
T000002,1995-08-31,1994-08-31,6646.2104,6532.495,6285.898,7460.161,5139.308,5631.3486,5842.8457,5745.2803,6693.6494,5004.087,4230.0,6720.0
T000003,1994-09-30,1994-08-31,6934.7534,6965.4766,7131.0405,6787.6826,7330.7373,6809.6104,7528.0864,6205.436,5702.8525,7153.481,5760.0,6720.0
T000003,1994-10-31,1994-08-31,7150.9854,6959.8477,8031.8857,6862.824,7715.0244,7639.4307,7802.9795,6114.6455,6255.2847,7825.312,2280.0,7500.0
T000003,1994-11-30,1994-08-31,6226.9277,6960.213,6700.7544,5973.7075,6507.497,6078.0083,6766.2744,6194.4688,6461.872,6531.524,12300.0,4880.0
T000003,1994-12-31,1994-08-31,6724.6714,6958.76,7699.0117,6815.132,8117.204,7394.462,7608.037,5823.3467,6485.1504,6296.951,8800.0,7780.0
T000003,1995-01-31,1994-08-31,5891.8613,6959.964,5721.0156,5927.5967,6280.204,6046.173,5316.7173,5437.313,6406.42,5438.1494,9660.0,4360.0
T000003,1995-02-28,1994-08-31,5992.8447,6959.6016,6275.323,6265.3374,6111.333,6573.866,5432.788,5295.9917,6243.8643,5775.6406,5860.0,4640.0
T000003,1995-03-31,1994-08-31,6253.242,6959.753,6956.849,6060.024,6624.8047,7051.8345,5843.1807,4831.7393,6056.3584,6124.966,6600.0,7420.0
T000003,1995-04-30,1994-08-31,5172.105,6962.9004,5757.7324,4512.9473,6038.848,6215.2114,5178.1343,4516.375,5964.802,5297.407,8100.0,4260.0
T000003,1995-05-31,1994-08-31,5151.796,6959.6416,5893.173,4835.471,5855.7764,5983.735,4744.484,4635.634,5958.743,5138.179,7760.0,2740.0
T000003,1995-06-30,1994-08-31,5410.826,6959.672,5589.073,4799.5684,5984.6777,5391.336,4598.7725,4881.628,6024.223,5488.317,6940.0,3200.0
T000003,1995-07-31,1994-08-31,6637.006,6959.8486,6378.7534,6251.861,5926.2246,6851.163,6354.2974,5298.2686,6236.6753,6074.45,8020.0,7140.0
T000003,1995-08-31,1994-08-31,7172.2305,6960.043,7299.5767,6594.2725,6971.7266,6605.077,7056.257,5979.7173,6505.3643,5716.953,6400.0,6960.0
T000004,1994-09-30,1994-08-31,10034.07,9275.105,9717.771,10700.13,10263.328,8847.626,11049.439,9275.732,9720.016,10310.593,9550.0,11150.0
T000004,1994-10-31,1994-08-31,9507.687,9534.383,8253.07,7878.254,8289.22,8014.8457,8378.36,9180.8545,10211.092,9724.45,6450.0,7250.0
T000004,1994-11-30,1994-08-31,9282.986,9262.99,9031.8,8515.487,8499.594,7506.4863,9291.523,9316.462,10815.57,9616.057,9800.0,5650.0
T000004,1994-12-31,1994-08-31,10185.121,9774.719,12394.186,10265.231,11610.722,10395.657,10161.088,8830.804,11100.473,9108.263,12450.0,12000.0
T000004,1995-01-31,1994-08-31,9736.802,9402.183,10185.919,11420.262,10260.754,7924.8184,7136.3994,8293.588,11154.934,8904.175,10050.0,11550.0
T000004,1995-02-28,1994-08-31,8731.972,8065.0005,9440.912,9586.615,9721.472,7502.7407,6962.6514,8068.7266,10993.275,8800.154,8400.0,7450.0
T000004,1995-03-31,1994-08-31,8631.676,8180.853,8511.796,9417.664,8203.956,7490.7344,6020.0317,7413.9307,10694.693,8428.899,10000.0,7350.0
T000004,1995-04-30,1994-08-31,7771.1714,8407.937,7623.0557,7899.168,8056.4966,6819.701,7099.2363,6947.647,10401.42,9196.745,10950.0,6500.0
T000004,1995-05-31,1994-08-31,7430.834,7162.283,9454.588,5755.6416,9795.33,8643.002,6375.921,7088.563,10245.118,7637.846,10700.0,2700.0
T000004,1995-06-30,1994-08-31,8986.494,9316.727,9589.631,9912.096,9551.342,8541.785,9084.924,7422.2163,10252.693,8506.211,8800.0,8700.0
T000004,1995-07-31,1994-08-31,9542.461,9509.211,9439.3545,9658.675,9152.211,8783.626,8965.677,7984.063,10477.614,8954.888,7550.0,9250.0
T000004,1995-08-31,1994-08-31,10452.304,10089.923,9472.406,10589.358,9897.367,8774.171,9380.093,8930.257,10816.63,8917.131,8800.0,10250.0
T000005,1994-09-30,1994-08-31,1248.9617,1490.8118,1774.2505,1478.8313,2545.207,1851.7412,1378.3599,1407.145,1583.8657,1010.5162,3150.0,1350.0
T000005,1994-10-31,1994-08-31,1453.4508,2012.3483,1132.7686,1824.3937,1969.1777,1406.239,681.1912,1730.0457,1684.9146,1046.7417,2700.0,2100.0
T000005,1994-11-30,1994-08-31,1640.914,2950.4634,1523.9758,1845.3494,2091.0964,1517.9323,1427.4108,1905.8835,1994.8223,1936.0149,6150.0,1800.0
T000005,1994-12-31,1994-08-31,2353.121,5314.3916,2754.501,2774.4302,2803.8325,2412.7095,1764.1626,2462.4395,2078.2324,3699.749,1500.0,6750.0
