unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,fold,SeasonalNaive
T000000,1993-09-30,1993-08-31,3053.4243,1238.0752,1913.1555,1485.3647,2101.793,2791.6057,2022.9498,2324.165,2552.75,2897.1484,4800.0,0,6720.0
T000000,1993-10-31,1993-08-31,2249.3018,731.56995,188.88062,1860.3699,1110.9653,2103.356,1540.1792,2483.0688,2118.5876,2666.2673,3000.0,0,2040.0
T000000,1993-11-30,1993-08-31,3623.8662,2295.0461,2722.1377,2165.2769,3107.441,3289.9438,2296.4502,2470.3599,3045.461,3221.2424,3120.0,0,6480.0
T000000,1993-12-31,1993-08-31,2343.6396,1269.2242,1090.0935,2375.588,1323.6069,1873.1412,1404.0754,2312.8293,2459.2935,3260.6394,5880.0,0,1920.0
T000000,1994-01-31,1993-08-31,2290.7925,1482.9509,1859.8137,1690.2168,1689.7124,2845.3342,1948.9832,2473.6553,2584.5168,2369.3357,2640.0,0,3600.0
T000000,1994-02-28,1993-08-31,3076.9934,2807.8252,2928.1348,1263.98,2740.3232,2400.0227,1684.5137,2406.1484,2186.382,2445.8076,2400.0,0,2040.0
T000000,1994-03-31,1993-08-31,2432.4517,951.22375,1584.6423,1233.7529,970.7258,2385.7412,1760.3042,2281.3376,2493.584,2315.3643,2280.0,0,2760.0
T000000,1994-04-30,1993-08-31,2642.085,2509.9758,1941.1195,1065.1858,1468.2263,2561.6553,2347.7349,2188.0264,2889.2559,2548.9263,480.0,0,3840.0
T000000,1994-05-31,1993-08-31,2452.0483,2524.2651,1906.2379,1010.2009,1724.1177,2366.772,1344.2144,1797.9797,1647.0989,2009.8561,5040.0,0,960.0
T000000,1994-06-30,1993-08-31,2517.833,2052.4097,2840.9888,1034.707,1434.8494,3181.8445,2029.642,2095.2935,2113.603,2338.591,1920.0,0,2280.0
T000000,1994-07-31,1993-08-31,3451.2395,2650.872,1798.7748,1076.5789,2603.8928,2278.2585,1601.9296,1993.6936,1588.6641,1954.632,840.0,0,1320.0
T000000,1994-08-31,1993-08-31,1944.8853,2092.0034,921.96814,1129.3987,983.15796,2654.572,2005.5035,1835.7395,2146.3027,2665.9583,2520.0,0,2160.0
T000001,1993-09-30,1993-08-31,776.8139,1215.3638,132.05548,288.5027,679.7223,875.0613,704.44543,817.29535,907.64734,1142.6,1320.0,0,2640.0
T000001,1993-10-31,1993-08-31,394.62952,628.6096,208.02173,281.23193,-17.896362,1021.7137,596.91016,977.18054,888.41895,1307.4365,2160.0,0,960.0
T000001,1993-11-30,1993-08-31,660.8257,957.44226,564.45764,669.70886,499.46582,1182.162,908.1947,943.06335,1225.5754,1527.0552,1200.0,0,3120.0
T000001,1993-12-31,1993-08-31,453.87415,939.1876,372.9275,881.5496,251.42175,1139.3427,607.1127,1024.7328,947.8467,1528.5574,1800.0,0,1200.0
T000001,1994-01-31,1993-08-31,651.61804,1485.7089,628.8727,333.08105,504.4442,793.5106,484.24646,826.29614,845.20404,1198.226,1320.0,0,960.0
T000001,1994-02-28,1993-08-31,640.9785,1215.3157,1060.9242,-47.5896,9.888794,578.7627,548.8299,716.86255,659.75183,1053.9668,600.0,0,480.0
T000001,1994-03-31,1993-08-31,726.1351,749.8112,694.7009,-150.52881,182.32324,611.4914,446.03076,1023.5983,693.89075,981.9935,1440.0,0,600.0
T000001,1994-04-30,1993-08-31,142.97693,1160.1062,381.7745,-120.75281,-82.052124,218.03473,617.9016,735.87335,584.1279,988.5265,840.0,0,120.0
T000001,1994-05-31,1993-08-31,599.47156,515.13196,1421.979,-70.184326,47.160645,1051.0244,1118.5656,1208.6584,1541.5961,851.27673,1440.0,0,2640.0
T000001,1994-06-30,1993-08-31,665.5781,1045.0337,1090.4554,-31.74231,413.75916,805.38617,761.5553,1163.485,808.63666,937.3584,1560.0,0,720.0
T000001,1994-07-31,1993-08-31,931.11383,814.64355,1292.9551,-1.0334473,969.19006,892.5393,648.865,1102.3384,764.3998,760.3856,1080.0,0,600.0
T000001,1994-08-31,1993-08-31,218.42029,210.6779,299.69458,27.86377,-100.54932,1144.109,773.9365,1164.4233,834.442,1122.1107,360.0,0,840.0
T000002,1993-09-30,1993-08-31,3600.526,4048.6394,4548.2754,4111.1924,3003.3477,3743.5776,3756.0996,3808.8848,3783.9104,4156.979,8760.0,0,4080.0
T000002,1993-10-31,1993-08-31,3652.3542,3870.8604,4243.283,4585.7544,2998.663,4155.044,3802.9355,3985.1763,3860.4788,4282.3765,5610.0,0,4140.0
T000002,1993-11-30,1993-08-31,4172.4697,4029.9058,4525.023,5190.3027,3936.7627,4041.5913,4000.2593,4250.3433,4138.28,4746.934,6090.0,0,5160.0
T000002,1993-12-31,1993-08-31,4637.921,5143.631,4714.5503,5577.52,4601.137,4224.8843,4098.3984,4505.872,4065.7188,4832.2607,4980.0,0,5100.0
T000002,1994-01-31,1993-08-31,4669.2305,4564.3594,4019.0952,5577.753,4258.3506,4012.8794,3747.3577,4315.764,3779.058,4605.9346,7680.0,0,3480.0
T000002,1994-02-28,1993-08-31,4430.089,4495.381,4749.539,5339.306,4780.1206,4104.7725,4025.005,4192.791,4084.732,4736.7104,5550.0,0,4350.0
T000002,1994-03-31,1993-08-31,3845.5564,4336.588,4323.2227,5034.318,4197.9917,4616.9307,4266.9663,3212.375,4471.529,4650.7373,6540.0,0,5550.0
T000002,1994-04-30,1993-08-31,4094.779,4412.245,4177.4746,4712.611,3943.601,4498.559,4191.992,3602.7437,4136.487,4524.5,4920.0,0,4200.0
T000002,1994-05-31,1993-08-31,4406.7095,4892.772,5320.9863,4346.9917,4374.328,4812.483,4654.8296,4314.9087,4670.8345,4128.7705,1710.0,0,5640.0
T000002,1994-06-30,1993-08-31,3915.2727,3782.4624,4498.8096,4019.8284,3923.3384,4294.8647,4243.2944,4125.0303,4429.707,4330.0654,3420.0,0,4980.0
T000002,1994-07-31,1993-08-31,3960.4863,4234.5146,4084.63,3939.306,3852.757,4246.704,3853.3767,4112.008,3837.2876,3819.4956,5910.0,0,3810.0
T000002,1994-08-31,1993-08-31,3962.5706,3876.0254,4099.085,3992.8042,3918.413,4071.8618,3749.2456,3792.5667,3646.9307,4140.1772,6720.0,0,3540.0
T000003,1993-09-30,1993-08-31,2786.4404,3998.858,4155.4546,2650.3926,3987.7188,3086.6045,4919.5776,4243.836,4537.551,4019.3228,6720.0,0,1560.0
T000003,1993-10-31,1993-08-31,3209.9478,3412.6663,4040.7397,2399.7444,4000.6206,3588.8286,5170.497,4484.7163,4533.674,3770.116,7500.0,0,4580.0
T000003,1993-11-30,1993-08-31,3468.265,3719.857,4710.6187,2828.4338,3811.7188,3435.7068,4791.9404,4478.284,4035.8015,4069.116,4880.0,0,1340.0
T000003,1993-12-31,1993-08-31,3632.9053,4130.311,4400.4155,2846.2507,4491.052,3657.4773,4668.0947,4065.0566,3767.736,4229.4873,7780.0,0,3860.0
