unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000002_fold0_x0,1993-01-31,1992-10-31,5601.14,5561.341,5326.8125,5429.612,5440.4497,5595.801,5456.868,5532.2207,5383.6494,5481.9297,5405.5,4863.54,0
T000002_fold0_x0,1993-04-30,1992-10-31,5738.8804,5695.9785,5363.294,5601.9727,5549.3125,5722.6255,5392.218,5584.649,5383.636,5585.7544,5935.5,5080.75,0
T000002_fold0_x0,1993-07-31,1992-10-31,5740.358,5831.9814,5452.4897,5774.006,5566.8237,5875.741,5444.088,5745.3003,5383.609,5693.0337,5864.65,5326.9,0
T000002_fold0_x0,1993-10-31,1992-10-31,5876.565,5851.0835,5483.5806,5943.448,5546.1997,6082.683,5588.1226,5727.1567,5383.6494,5679.9067,5800.1,5383.65,0
T000010_fold0_x1,1993-01-31,1992-10-31,5538.691,5457.343,5456.7417,5529.568,5493.4863,5486.196,5653.8174,5529.3706,5475.192,5479.3,5921.4,5228.5,0
T000010_fold0_x1,1993-04-30,1992-10-31,5592.933,5545.826,5447.4707,5589.32,5500.3228,5512.603,5509.537,5591.9,5475.1714,5507.756,5837.9,5258.55,0
T000010_fold0_x1,1993-07-31,1992-10-31,5670.422,5688.8677,5493.2036,5662.143,5528.0,5555.252,5551.78,5656.8926,5475.136,5527.604,5981.7,5395.45,0
T000010_fold0_x1,1993-10-31,1992-10-31,5772.3286,5695.343,5522.0703,5726.763,5507.067,5612.4253,5686.5605,5710.9883,5475.1997,5563.824,6146.8,5475.2,0
T000028_fold0_x2,1993-01-31,1992-10-31,6215.2695,6399.619,6076.144,6087.5957,6379.9136,6161.27,6320.2236,6378.458,6053.1855,6077.6294,6264.5,6001.5,0
T000028_fold0_x2,1993-04-30,1992-10-31,6167.978,6413.02,6104.0195,6228.472,6360.4106,6258.367,6235.7,6357.5337,6015.2666,6130.7666,6335.5,6125.5,0
T000028_fold0_x2,1993-07-31,1992-10-31,6151.671,6544.0576,6120.0938,6169.254,6335.121,6273.464,6310.5825,6442.1978,6086.689,6098.402,6091.0,6091.0,0
T000028_fold0_x2,1993-10-31,1992-10-31,6100.9023,6143.8496,6065.981,6050.2305,6099.696,6306.326,6278.6504,6258.3604,6045.101,6053.4736,6102.5,6054.5,0
T000029_fold0_x3,1993-01-31,1992-10-31,3123.8433,2414.7773,2250.3333,2737.2432,2875.552,2383.5737,2517.3452,1743.0173,3444.898,2594.5085,2127.0,2823.5,0
T000029_fold0_x3,1993-04-30,1992-10-31,2953.585,2433.2434,2620.7803,3327.0906,2933.3113,3162.7085,2696.6982,2060.3242,4963.051,3034.8013,2076.5,2763.0,0
