unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000000_fold0_x0,1993-01-31,1992-10-31,5529.6816,5437.0303,5512.3447,5509.121,5574.203,5386.9966,5557.363,5473.2915,5511.553,5544.5176,5531.5,5551.25,0
T000000_fold0_x0,1993-04-30,1992-10-31,5545.9287,5462.454,5537.5063,5532.4907,5598.8154,5392.719,5596.047,5518.9404,5511.55,5588.6387,5670.6,5592.15,0
T000000_fold0_x0,1993-07-31,1992-10-31,5539.9717,5508.925,5536.735,5548.57,5626.7275,5408.7666,5611.273,5533.7715,5511.55,5515.8086,5730.0,5481.6,0
T000000_fold0_x0,1993-10-31,1992-10-31,5550.9736,5529.874,5529.0664,5580.463,5645.707,5402.437,5649.6523,5556.5503,5511.55,5517.359,5798.45,5511.55,0
T000001_fold0_x1,1993-01-31,1992-10-31,3774.729,3719.3704,3589.1738,3695.536,3715.5977,3713.748,3654.033,3742.784,3629.3716,3635.598,3799.2,3342.2,0
T000001_fold0_x1,1993-04-30,1992-10-31,3847.0571,3724.3062,3583.0852,3790.8826,3763.3076,3788.716,3686.9385,3797.3586,3629.422,3646.698,3972.6,3404.4,0
T000001_fold0_x1,1993-07-31,1992-10-31,3994.024,3846.5286,3662.6816,3876.121,3822.8257,3866.7366,3715.0408,3949.0298,3629.592,3664.4797,4078.2,3638.4,0
T000001_fold0_x1,1993-10-31,1992-10-31,3994.0645,3830.015,3717.3735,3970.8535,3837.131,3872.9893,3725.3748,3879.2139,3629.4387,3664.7563,4090.0,3629.4,0
T000003_fold0_x2,1993-01-31,1992-10-31,4359.4146,4192.9434,4202.999,4327.093,4493.2227,4296.389,4115.181,4096.997,4926.5415,4527.696,4713.0,4904.6,0
T000003_fold0_x2,1993-04-30,1992-10-31,4465.214,4250.7983,4408.3496,4417.5063,4628.805,4524.5835,4218.1626,4298.2485,5017.5947,4748.9463,4201.0,5014.0,0
T000003_fold0_x2,1993-07-31,1992-10-31,4655.3623,4436.6943,4566.7983,4479.696,4681.5693,4311.508,4310.9688,4312.258,5023.2,4703.041,4085.8,5023.2,0
