unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000002_fold0_x0,1989-12-31,1988-12-31,3822.3198,3737.0176,3654.8713,3770.5508,3648.3535,3868.5737,3604.2666,3423.409,3525.2,3564.3022,3070.2,3525.2,0
T000002_fold0_x0,1990-12-31,1988-12-31,3999.086,3972.313,3743.5044,3876.2964,3663.9492,3769.576,3658.8325,3417.688,3525.2,3652.9531,3601.6,3525.2,0
T000002_fold0_x0,1991-12-31,1988-12-31,4182.341,3929.096,3463.1606,3924.9087,3683.235,3776.22,3715.127,3400.0466,3525.2,3726.798,3407.4,3525.2,0
T000004_fold0_x1,1989-12-31,1988-12-31,6155.2046,5862.122,5718.475,5902.5845,5762.3906,5447.8125,5613.208,5579.6816,5488.8,5560.8984,5250.9,5488.8,0
T000004_fold0_x1,1990-12-31,1988-12-31,6012.436,6199.665,5869.74,6235.686,5722.975,5563.499,5684.2617,5501.189,5488.8,5653.88,4899.2,5488.8,0
T000004_fold0_x1,1991-12-31,1988-12-31,6043.4014,6287.468,5726.371,6314.678,5698.243,5708.7446,5773.8105,5479.874,5488.8,5749.7007,4317.9,5488.8,0
T000005_fold0_x2,1989-12-31,1988-12-31,4217.6123,4209.4033,4157.144,4234.688,4215.8354,4148.143,4183.816,4212.7993,4094.63,4130.6777,4338.03,4094.63,0
T000005_fold0_x2,1990-12-31,1988-12-31,4241.6426,4311.184,4207.314,4365.9824,4226.5977,4250.327,4239.969,4227.4395,4094.63,4220.5664,4185.92,4094.63,0
T000005_fold0_x2,1991-12-31,1988-12-31,4273.4917,4341.5767,4202.264,4399.6504,4249.8228,4358.811,4304.258,4278.629,4094.63,4300.6465,3950.49,4094.63,0
T000006_fold0_x3,1989-12-31,1988-12-31,5270.799,5367.175,5425.7637,5296.615,5336.4097,5197.5415,5240.43,5272.9395,5128.51,5170.939,5163.21,5128.51,0
T000006_fold0_x3,1990-12-31,1988-12-31,5009.247,5593.9824,5492.5503,5490.3643,5335.963,5254.2153,5309.4473,5340.787,5128.51,5263.0835,5089.94,5128.51,0
T000006_fold0_x3,1991-12-31,1988-12-31,4872.9976,5630.4873,5354.154,5541.627,5357.797,5361.8013,5392.1313,5457.719,5128.51,5354.613,4786.4,5128.51,0
T000008_fold0_x4,1989-12-31,1988-12-31,4885.094,5464.733,5239.2017,5584.9746,5301.3784,4709.115,5255.418,5319.6567,5132.45,5096.8257,6277.6,5132.45,0
T000008_fold0_x4,1990-12-31,1988-12-31,4569.0684,5427.209,5286.108,5951.5796,5157.722,4702.4106,5299.6924,5269.391,5132.45,5188.808,7446.28,5132.45,0
T000008_fold0_x4,1991-12-31,1988-12-31,4314.1855,5897.8184,5373.813,6038.4185,4993.6367,4753.44,5378.239,5169.9663,5132.45,5279.521,6741.69,5132.45,0
