unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000000_fold0_x0,1992-08-31,1992-07-31,6553.633,6585.0747,6219.591,5875.0503,6756.992,6601.2734,6233.6216,6359.512,6074.779,5697.545,6611.115,6483.14,0
T000000_fold0_x0,1992-09-30,1992-07-31,4283.9395,4332.4014,4759.463,4319.193,4215.0923,4392.9893,4446.1084,4255.137,4336.0483,4559.675,4150.2395,4063.5027,0
T000000_fold0_x0,1992-10-31,1992-07-31,3042.9272,3096.5833,2965.9055,3331.437,3065.546,3107.0305,2846.3235,3048.979,3034.7217,2967.8362,2841.0,2900.23,0
T000000_fold0_x0,1992-11-30,1992-07-31,2036.3613,2022.233,2074.9487,2649.6035,1978.1132,1943.4453,1982.9575,2087.3118,2041.0452,2157.4153,1813.44,1907.095,0
T000000_fold0_x0,1992-12-31,1992-07-31,2099.849,2485.353,2270.8574,2384.824,2312.4321,1871.7224,2521.9287,2095.7383,2240.3179,1936.1199,2261.08,2338.51,0
T000000_fold0_x0,1993-01-31,1992-07-31,1774.237,1968.0361,1759.5515,2516.2083,1919.9423,1946.883,1995.2067,1720.3948,1881.7378,1756.4103,1873.605,1787.1651,0
T000000_fold0_x0,1993-02-28,1992-07-31,1569.034,1946.8086,1931.8447,2849.1958,1844.5844,1255.1914,2104.1555,1548.5903,1904.649,1856.1494,1772.84,1699.6451,0
T000000_fold0_x0,1993-03-31,1992-07-31,1975.8604,2287.0425,2049.7283,2766.4905,2123.3967,1693.8049,2303.7583,1932.9524,2104.7158,1953.7347,2049.565,1979.1052,0
T000000_fold0_x0,1993-04-30,1992-07-31,2770.5557,2886.663,2342.5964,2549.3193,2713.0342,2744.2346,2997.8516,2362.7761,2747.3481,2654.7732,2932.265,2824.26,0
T000000_fold0_x0,1993-05-31,1992-07-31,3064.7732,3346.206,3064.048,3050.4478,3306.5144,3505.7327,3276.7617,3273.3127,3133.7852,3390.799,3113.255,3076.505,0
T000000_fold0_x0,1993-06-30,1992-07-31,3848.5757,3876.7612,4083.7295,3872.1836,3877.7212,3784.2964,4467.635,4288.67,3758.0757,4367.0146,3461.505,3402.585,0
T000000_fold0_x0,1993-07-31,1992-07-31,6312.913,6675.432,6466.634,5971.717,6393.9893,6366.267,6877.3105,6388.4277,5894.152,6432.774,6265.74,5985.83,0
T000011_fold0_x1,2005-01-31,2004-12-31,24507.014,26762.635,26140.125,25802.566,25069.04,30051.824,25996.21,33219.285,26927.11,23774.9,29397.0,19380.0,0
