unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
T000000,1993-12-31,1993-09-30,7482.1064,7707.1045,7603.173,8760.598,7553.1074,7933.1343,6850.133,11019.686,7604.5977,7939.796,7672.665,6915.52
T000000,1994-03-31,1993-09-30,7052.913,10140.193,5979.804,6850.484,5909.5864,6416.176,6906.3506,9646.762,6776.66,6535.2197,6407.285,5696.01
T000000,1994-06-30,1993-09-30,10336.945,10645.708,10144.735,10758.947,10367.03,10076.67,12807.035,13142.764,11512.719,11035.391,10330.3,9507.025
T000000,1994-09-30,1993-09-30,18728.133,17409.621,18310.89,18520.139,18755.672,18946.328,20891.533,19420.125,18152.068,18229.195,6995.05,17469.63
T000001,1993-12-31,1993-09-30,354027.78,362251.78,375298.97,392538.4,371423.0,363373.2,358941.75,411140.66,385983.44,370286.1,386096.5,348666.69
T000001,1994-03-31,1993-09-30,344620.53,377000.88,302346.7,319632.12,298729.38,312364.66,323406.0,366439.94,332499.28,311625.84,304618.082,289378.83
T000001,1994-06-30,1993-09-30,388571.53,385184.12,383457.56,396573.12,382605.88,381447.34,442279.06,434625.3,408104.7,389728.72,417078.1932,361884.6
T000001,1994-09-30,1993-09-30,570224.75,539578.4,571310.1,577723.5,577867.75,572179.4,622082.8,583114.56,561480.9,561484.9,199405.116,540909.5
T000002,2006-03-31,2005-12-31,244585.69,265367.7,288167.34,282084.8,308396.4,293427.2,269510.97,306354.62,278429.97,296184.25,264012.0,260754.0
T000002,2006-06-30,2005-12-31,309180.28,303084.53,316294.06,267228.88,283311.38,283764.6,288798.8,323657.47,305503.5,281029.97,300244.0,293599.0
T000002,2006-09-30,2005-12-31,311897.3,282721.66,313153.88,321213.78,315026.75,284301.97,331292.03,306043.16,287302.5,329837.8,276400.0,274916.0
T000002,2006-12-31,2005-12-31,335087.34,313588.25,354184.06,351605.78,353387.94,343542.06,377974.44,320769.9,323263.5,352367.88,318369.0,313820.0
T000003,2006-03-31,2005-12-31,74992.91,75688.13,86639.54,83750.836,91224.02,84990.55,79553.26,92089.35,76655.79,87385.91,80207.0,74078.0
T000003,2006-06-30,2005-12-31,80188.53,80495.83,81807.41,67209.78,74796.195,73567.35,75182.93,80748.66,75656.57,73788.22,76102.0,70931.0
T000003,2006-09-30,2005-12-31,78743.51,72184.766,79684.3,79298.695,82250.74,73878.69,88413.33,80349.17,71268.42,82838.8,75129.0,68004.0
T000003,2006-12-31,2005-12-31,102082.64,95651.04,105164.47,107237.23,107392.734,104515.42,115116.54,99783.17,99108.74,104619.59,104259.0,95829.0
T000004,2006-03-31,2005-12-31,119889.44,117492.22,140533.64,129624.32,145584.94,148451.38,139778.38,137133.67,124908.75,143002.66,127910.0,114837.0
T000004,2006-06-30,2005-12-31,149078.55,137410.69,149580.12,131643.69,139568.22,134592.88,145160.56,153508.5,136882.62,136936.9,142113.0,131353.0
T000004,2006-09-30,2005-12-31,149012.8,137604.3,150145.97,155592.77,152476.47,133274.5,169559.03,151522.73,141202.23,156247.58,139363.0,136027.0
T000004,2006-12-31,2005-12-31,151897.86,143294.81,160845.1,163785.44,164310.47,159953.6,178567.72,146458.0,149839.97,157064.7,154547.0,143360.0
T000005,2006-03-31,2005-12-31,119802.555,121112.31,143424.66,134854.81,145835.38,129682.016,128909.69,133952.78,126737.555,141664.4,131208.0,120415.0
T000005,2006-06-30,2005-12-31,115565.29,110326.8,117418.15,99858.63,107295.72,105503.58,109880.086,112481.42,106925.125,105048.94,113281.0,104971.0
T000005,2006-09-30,2005-12-31,114886.07,104900.81,119446.234,119978.19,120096.7,103181.945,129038.22,112796.58,107877.18,120951.34,110521.0,103051.0
T000005,2006-12-31,2005-12-31,142184.42,135922.14,153905.72,154750.6,153234.1,148710.47,162921.69,140972.19,138970.05,149642.97,161485.0,136164.0
T000006,2006-03-31,2005-12-31,46304.477,46018.168,54572.438,52272.96,57989.234,54479.914,50321.867,58429.227,49004.75,54600.598,48333.0,44596.0
T000006,2006-06-30,2005-12-31,55973.96,55777.652,57745.75,47869.086,51822.387,47690.984,53171.035,61823.453,55402.535,50569.133,52961.0,51049.0
T000006,2006-09-30,2005-12-31,54625.77,50131.78,54783.516,54725.555,56050.17,46776.254,61064.84,57849.184,51853.12,56801.223,47506.0,47459.0
T000006,2006-12-31,2005-12-31,65548.33,61435.016,68603.22,69358.17,69468.516,67206.46,75403.516,63870.54,63893.684,68058.25,65037.0,61521.0
T000007,2006-03-31,2005-12-31,286618.9,317511.38,332430.66,344206.34,355303.12,359901.22,283424.84,320329.75,328567.44,339134.3,320658.0,316826.0
T000007,2006-06-30,2005-12-31,283577.7,291154.2,282593.28,254580.78,256248.72,286120.06,247387.6,297144.28,285922.94,266706.6,305105.0,264510.0
T000007,2006-09-30,2005-12-31,344588.84,307465.28,352992.44,349550.3,345267.75,320438.84,329823.6,294266.34,315678.5,376320.38,336938.0,303540.0
T000007,2006-12-31,2005-12-31,367920.9,325808.25,374622.16,402201.1,370328.6,359197.47,377835.28,333930.06,343061.62,375249.12,348410.0,325972.0
T000008,2006-03-31,2005-12-31,140392.52,144661.83,161153.12,155883.69,174101.06,167622.4,162610.89,160532.19,155237.89,174698.9,173639.0,142300.0
T000008,2006-06-30,2005-12-31,174301.2,163913.86,169318.23,148269.62,158338.6,154227.16,165733.23,179530.02,169381.2,155553.69,160045.0,159844.0
T000008,2006-09-30,2005-12-31,189700.05,171113.19,186552.36,195719.72,189493.06,175330.16,206752.31,184411.56,180601.94,199155.5,179973.0,171954.0
T000008,2006-12-31,2005-12-31,180730.19,168366.19,188525.8,193036.23,191132.58,185166.95,205237.53,171450.06,177773.33,187322.27,204957.0,168382.0
T000009,2006-03-31,2005-12-31,86746.78,89122.29,98500.41,95648.32,106051.16,97054.02,94780.62,111879.31,92937.51,100904.08,99216.0,86979.0
T000009,2006-06-30,2005-12-31,112428.37,108872.5,118639.78,101015.83,104276.016,111392.664,103282.06,119507.79,112219.41,105820.19,136031.0,104594.0
T000009,2006-09-30,2005-12-31,105716.17,88658.06,107097.09,114746.97,108673.72,106043.38,115851.97,108535.234,95690.52,114426.45,95582.0,83742.0
T000009,2006-12-31,2005-12-31,126134.25,115543.94,126272.33,127639.25,127415.766,124836.91,141665.89,120291.62,123274.42,126875.164,123212.0,115734.0
T000010,2006-03-31,2005-12-31,121921.95,125260.06,132353.03,125764.64,148605.5,140149.73,135236.0,169569.38,135177.38,139802.97,118195.0,122959.0
