unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000005_fold0_x0,2005-03-31,2004-12-31,138061.7,112478.27,111251.27,110717.6,124393.8,111574.45,113698.07,122996.35,103716.0,112958.74,120415.0,103716.0,0
T000005_fold0_x0,2005-06-30,2004-12-31,95393.195,69556.85,93427.78,95523.6,97275.56,96530.37,98859.98,84330.74,91466.0,96924.125,104971.0,91466.0,0
T000005_fold0_x0,2005-09-30,2004-12-31,113856.17,90867.35,97240.484,95598.06,96254.74,95834.914,100094.945,93978.64,91010.0,103150.164,103051.0,91010.0,0
T000005_fold0_x0,2005-12-31,2004-12-31,142817.94,117698.48,125654.03,129422.19,140581.61,128954.16,132922.5,135353.25,125095.0,128513.15,136164.0,125095.0,0
T000009_fold0_x1,2005-03-31,2004-12-31,93621.26,81108.19,80350.36,75883.086,75853.195,77894.53,76117.01,81739.48,64129.0,91547.08,86979.0,64129.0,0
T000009_fold0_x1,2005-06-30,2004-12-31,86287.484,73015.21,93617.086,103437.414,100577.234,100176.82,99972.445,88229.84,92507.0,98306.06,104594.0,92507.0,0
T000009_fold0_x1,2005-09-30,2004-12-31,99970.36,87393.56,92602.91,89390.65,95841.836,90929.5,91641.516,90189.5,83106.0,96339.45,83742.0,83106.0,0
T000009_fold0_x1,2005-12-31,2004-12-31,108524.0,88899.625,98892.2,100613.64,110296.75,103681.55,102965.25,105733.38,96931.0,101086.72,115734.0,96931.0,0
T000011_fold0_x2,2005-03-31,2004-12-31,94795.72,74617.27,77171.15,79681.45,75763.984,74245.61,73076.25,78986.42,61108.0,92941.164,84415.0,61108.0,0
T000011_fold0_x2,2005-06-30,2004-12-31,84224.625,63212.023,81036.83,89125.625,89303.59,88658.48,86001.21,78967.88,78788.0,99643.61,92747.0,78788.0,0
T000011_fold0_x2,2005-09-30,2004-12-31,97685.8,80074.234,87035.37,87894.43,83100.66,85710.11,85822.72,80701.2,77397.0,100518.64,90354.0,77397.0,0
T000011_fold0_x2,2005-12-31,2004-12-31,113555.06,94394.5,101486.375,103175.8,112585.0,106060.06,105758.78,109798.84,99617.0,104999.39,112896.0,99617.0,0
T000013_fold0_x3,2005-03-31,2004-12-31,3491975.5,3194231.2,2922259.8,2975844.2,3374576.2,2971061.5,3096192.0,3401345.0,2919108.0,2959929.0,3038791.0,2919108.0,0
T000013_fold0_x3,2005-06-30,2004-12-31,2898070.5,2486854.2,2806625.2,2903146.5,2999048.8,2864024.5,2960307.0,2970116.2,2749023.0,2887055.5,2845000.0,2749023.0,0
T000013_fold0_x3,2005-09-30,2004-12-31,3677366.5,3370996.5,3282288.8,3426204.2,3611710.0,3373575.2,3535483.8,3626247.5,3311344.0,3332497.0,3293652.0,3311344.0,0
T000013_fold0_x3,2005-12-31,2004-12-31,3738149.5,3291545.2,3270449.8,3346700.2,3721224.0,3332970.0,3485575.8,3799714.5,3266387.0,3309216.5,3363957.0,3266387.0,0
T000015_fold0_x4,2005-03-31,2004-12-31,49168.28,43776.824,41723.832,42069.477,42931.305,41457.21,43517.355,45580.1,40589.02,42002.44,43856.12,40589.02,0
