unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
T000000,1993-12-31,1993-09-30,8888.613,7707.1045,7603.173,6907.6494,7553.1074,7984.8926,8445.748,11019.686,7665.0703,7917.9766,7672.665,6915.52
T000000,1994-03-31,1993-09-30,7233.676,10140.193,5979.804,6642.4644,5909.5864,6425.1494,6683.4385,9646.762,6643.908,6322.6606,6407.285,5696.01
T000000,1994-06-30,1993-09-30,11834.07,10645.708,10144.735,10401.028,10367.03,10292.834,11103.346,13142.764,11669.49,10542.264,10330.3,9507.025
T000000,1994-09-30,1993-09-30,18620.055,17409.621,18310.89,18736.559,18755.672,18610.5,19126.564,19420.125,19044.023,18975.143,6995.05,17469.63
T000001,1993-12-31,1993-09-30,384792.7,362251.78,375298.97,355697.2,371423.0,370778.75,389374.7,411140.66,377095.94,374527.2,386096.5,348666.69
T000001,1994-03-31,1993-09-30,320610.56,377000.88,302346.7,320851.78,298729.38,310878.66,319961.3,366439.94,302932.72,309682.1,304618.082,289378.83
T000001,1994-06-30,1993-09-30,402066.53,385184.12,383457.56,390402.25,382605.88,380575.6,397585.34,434625.3,352036.34,388665.7,417078.1932,361884.6
T000001,1994-09-30,1993-09-30,562511.4,539578.4,571310.1,575349.56,577867.75,571198.6,577879.44,583114.56,572146.9,574268.4,199405.116,540909.5
T000002,2006-03-31,2005-12-31,309122.9,265367.7,288167.34,264909.56,308396.4,285497.7,271786.06,306354.62,285296.78,292566.12,264012.0,260754.0
T000002,2006-06-30,2005-12-31,231990.58,303084.53,316294.06,309882.16,283311.38,280992.12,304063.34,323657.47,303929.6,283630.78,300244.0,293599.0
T000002,2006-09-30,2005-12-31,277156.75,282721.66,313153.88,288042.0,315026.75,316181.16,288855.72,306043.16,301659.2,292639.6,276400.0,274916.0
T000002,2006-12-31,2005-12-31,353621.75,313588.25,354184.06,336430.06,353387.94,358953.22,326060.66,320769.9,373537.34,358271.8,318369.0,313820.0
T000003,2006-03-31,2005-12-31,88326.086,75688.13,86639.54,77134.31,91224.02,84203.89,81139.47,92089.35,86848.18,84942.78,80207.0,74078.0
T000003,2006-06-30,2005-12-31,62454.66,80495.83,81807.41,79387.164,74796.195,72620.51,77747.8,80748.66,84259.11,70976.93,76102.0,70931.0
T000003,2006-09-30,2005-12-31,71276.766,72184.766,79684.3,72585.945,82250.74,80780.44,74989.9,80349.17,86954.3,74666.17,75129.0,68004.0
T000003,2006-12-31,2005-12-31,103703.836,95651.04,105164.47,103149.96,107392.734,106658.95,101274.63,99783.17,108599.69,105225.55,104259.0,95829.0
T000004,2006-03-31,2005-12-31,142716.64,117492.22,140533.64,129842.26,145584.94,142105.44,134658.72,137133.67,143099.55,140176.31,127910.0,114837.0
T000004,2006-06-30,2005-12-31,111140.56,137410.69,149580.12,152021.61,139568.22,137299.53,148481.25,153508.5,142954.7,134499.31,142113.0,131353.0
T000004,2006-09-30,2005-12-31,120883.69,137604.3,150145.97,146311.0,152476.47,152938.53,140691.34,151522.73,158635.94,143903.62,139363.0,136027.0
T000004,2006-12-31,2005-12-31,156690.88,143294.81,160845.1,160446.47,164310.47,166068.9,151678.69,146458.0,189805.22,163790.06,154547.0,143360.0
T000005,2006-03-31,2005-12-31,140367.12,121112.31,143424.66,131343.33,145835.38,137298.47,131346.44,133952.78,145446.19,134959.8,131208.0,120415.0
T000005,2006-06-30,2005-12-31,88684.125,110326.8,117418.15,115231.02,107295.72,102841.59,114191.47,112481.42,115869.805,104601.58,113281.0,104971.0
T000005,2006-09-30,2005-12-31,102748.51,104900.81,119446.234,107906.72,120096.7,119406.71,109239.49,112796.58,129006.21,109633.24,110521.0,103051.0
T000005,2006-12-31,2005-12-31,151237.6,135922.14,153905.72,144790.06,153234.1,152724.61,142611.92,140972.19,158273.6,151170.58,161485.0,136164.0
T000006,2006-03-31,2005-12-31,57511.95,46018.168,54572.438,48686.277,57989.234,52734.246,52452.0,58429.227,58278.18,54405.76,48333.0,44596.0
T000006,2006-06-30,2005-12-31,40696.21,55777.652,57745.75,57779.84,51822.387,50172.312,56459.98,61823.453,54744.89,49279.777,52961.0,51049.0
T000006,2006-09-30,2005-12-31,46009.957,50131.78,54783.516,50383.043,56050.17,55471.55,51535.266,57849.184,54364.47,50939.254,47506.0,47459.0
T000006,2006-12-31,2005-12-31,67459.64,61435.016,68603.22,67039.484,69468.516,69776.19,65124.066,63870.54,68441.36,69270.67,65037.0,61521.0
T000007,2006-03-31,2005-12-31,362475.25,317511.38,332430.66,313968.6,355303.12,326834.2,306452.47,320329.75,302698.0,345495.62,320658.0,316826.0
T000007,2006-06-30,2005-12-31,228004.77,291154.2,282593.28,298902.62,256248.72,256973.45,275892.53,297144.28,281660.97,313875.75,305105.0,264510.0
T000007,2006-09-30,2005-12-31,324498.47,307465.28,352992.44,327813.38,345267.75,350735.62,320489.9,294266.34,338930.2,338240.97,336938.0,303540.0
T000007,2006-12-31,2005-12-31,386807.66,325808.25,374622.16,361618.3,370328.6,372431.34,342261.62,333930.06,416628.2,403588.0,348410.0,325972.0
T000008,2006-03-31,2005-12-31,175972.33,144661.83,161153.12,155290.53,174101.06,171182.28,156277.47,160532.19,158602.27,166018.28,173639.0,142300.0
T000008,2006-06-30,2005-12-31,130832.46,163913.86,169318.23,175351.52,158338.6,153944.17,171430.83,179530.02,172222.0,150060.44,160045.0,159844.0
T000008,2006-09-30,2005-12-31,160162.88,171113.19,186552.36,184189.88,189493.06,189513.45,177006.95,184411.56,184430.34,179600.05,179973.0,171954.0
T000008,2006-12-31,2005-12-31,188106.44,168366.19,188525.8,183602.73,191132.58,192778.38,177207.12,171450.06,208168.97,189031.4,204957.0,168382.0
T000009,2006-03-31,2005-12-31,100442.766,89122.29,98500.41,92255.91,106051.16,97044.85,99668.26,111879.31,95835.12,99975.64,99216.0,86979.0
T000009,2006-06-30,2005-12-31,81942.16,108872.5,118639.78,117863.09,104276.016,105850.5,114843.08,119507.79,105310.49,102151.24,136031.0,104594.0
T000009,2006-09-30,2005-12-31,95672.58,88658.06,107097.09,96098.55,108673.72,109680.125,97625.66,108535.234,96260.6,100005.875,95582.0,83742.0
T000009,2006-12-31,2005-12-31,126025.73,115543.94,126272.33,126107.03,127415.766,127639.67,120712.08,120291.62,128091.734,128751.26,123212.0,115734.0
T000010,2006-03-31,2005-12-31,139007.95,125260.06,132353.03,126621.42,148605.5,134922.38,139196.86,169569.38,126597.5,139093.44,118195.0,122959.0
T000010,2006-06-30,2005-12-31,122926.63,153236.72,169385.23,170393.02,156942.72,152600.1,164447.25,180923.02,156128.9,144932.22,152562.0,148731.0
T000010,2006-09-30,2005-12-31,137112.11,127620.664,151947.62,138275.53,159379.78,158246.75,141739.23,164219.62,144029.34,143751.44,127718.0,124408.0
T000010,2006-12-31,2005-12-31,191693.78,176897.19,195985.03,201265.72,202234.67,204579.02,190295.89,185085.58,209694.53,200768.9,189999.0,177232.0
T000011,2006-03-31,2005-12-31,97628.69,86759.6,96678.83,90277.58,104414.39,95879.16,95792.03,106301.09,94108.13,95704.56,93684.0,84415.0
T000011,2006-06-30,2005-12-31,78260.06,101646.03,107052.23,106591.45,99279.29,98485.875,103911.78,110744.94,101876.42,94243.766,102467.0,92747.0
T000011,2006-09-30,2005-12-31,90095.766,94563.305,105905.64,98576.664,109384.55,108472.78,98528.56,106263.48,98281.586,97868.92,86774.0,90354.0
T000011,2006-12-31,2005-12-31,122286.85,112754.23,126197.63,124290.78,128052.61,130697.914,119520.195,116930.76,128110.65,127255.91,112607.0,112896.0
T000012,2006-03-31,2005-12-31,593782.25,504989.44,525232.5,503362.97,580937.75,543808.06,510607.12,528131.6,495330.62,560396.3,526783.0,502032.0
T000012,2006-06-30,2005-12-31,393412.56,523078.5,523083.8,523612.84,469064.84,466575.0,524256.4,548814.44,516211.94,518935.75,513027.0,513773.0
T000012,2006-09-30,2005-12-31,590973.2,569236.7,679774.0,589194.2,632658.9,632847.25,578988.44,580964.4,625035.25,613235.0,599011.0,573492.0
T000012,2006-12-31,2005-12-31,641257.0,541370.75,620484.1,558424.8,592971.6,588175.5,548439.4,546890.5,686738.1,640222.94,538411.0,541268.0
T000013,2006-03-31,2005-12-31,3215250.2,3065812.2,3276644.0,3035997.2,3453987.2,3360606.5,3121638.8,3109234.5,3120693.0,3117574.8,3591843.0,3038791.0
T000013,2006-06-30,2005-12-31,2573243.2,3068905.0,3066775.2,2911987.8,2962620.0,2970945.0,2912284.0,3141872.2,3155222.0,2883172.2,3114549.0,2845000.0
T000013,2006-09-30,2005-12-31,3258490.0,3303836.8,3660701.8,3388714.0,3646748.0,3670311.0,3382204.2,3270676.0,3588738.2,3432344.0,3492344.0,3293652.0
T000013,2006-12-31,2005-12-31,3586776.8,3362868.2,3749454.2,3444909.8,3713257.0,3783724.5,3443943.5,3441181.2,3943997.5,3538696.0,3392606.0,3363957.0
T000014,2006-03-31,2005-12-31,27803.172,24980.389,26975.46,25575.26,28627.32,27030.582,25998.172,26795.793,25788.822,27116.887,26280.96,24836.45
T000014,2006-06-30,2005-12-31,19274.543,25460.932,25059.504,25618.459,23429.564,23251.246,25412.846,25718.795,25532.533,23341.14,25767.66,24737.5
T000014,2006-09-30,2005-12-31,25048.145,24477.818,28480.586,25276.457,27509.516,27816.992,25237.713,25590.93,28119.117,26243.336,26012.2,24136.38
T000014,2006-12-31,2005-12-31,30492.477,27083.418,30802.047,27811.83,29780.305,30129.912,27746.945,27491.127,32356.596,30096.46,28318.7,27102.91
T000015,2006-03-31,2005-12-31,50263.977,43856.97,47664.207,46138.773,51292.984,49114.145,46416.254,45652.27,46208.293,48739.31,48113.84,43856.12
T000015,2006-06-30,2005-12-31,35833.4,43783.016,45519.01,46578.605,42808.855,42704.35,46116.645,45518.387,46388.68,42885.98,46516.62,43782.9
T000015,2006-09-30,2005-12-31,45823.254,46660.867,53509.6,48833.85,51522.598,52271.812,47935.465,46844.89,50561.54,48955.03,48204.65,46647.44
T000015,2006-12-31,2005-12-31,53816.83,48162.85,54571.652,49549.074,52819.582,53499.69,49184.773,48893.367,56686.18,53007.76,49565.64,48165.78
T000016,2006-03-31,2005-12-31,31912.412,26419.592,27845.363,27164.76,31560.912,30459.812,26804.98,28811.846,30330.232,30437.523,31897.96,25997.68
T000016,2006-06-30,2005-12-31,21346.05,28468.617,27268.383,28244.674,25825.973,26677.285,27235.59,29389.467,29140.703,26791.564,33142.04,26646.54
T000016,2006-09-30,2005-12-31,30002.57,29596.281,34118.484,30682.668,32666.012,34040.54,30195.172,30661.514,33087.977,31721.068,34610.2,29287.22
T000016,2006-12-31,2005-12-31,35892.67,31656.277,35441.62,32065.309,34559.94,35333.664,31909.762,32551.2,37180.957,35248.035,38110.89,31678.59
T000017,2006-03-31,2005-12-31,12850.067,11432.226,11938.564,11191.56,12887.374,11971.465,10694.194,11878.905,12078.714,12199.09,12194.07,11328.34
T000017,2006-06-30,2005-12-31,9306.327,11747.701,11504.833,11672.716,10795.746,10688.076,10735.21,11707.703,12274.734,10704.109,12002.55,11180.16
T000017,2006-09-30,2005-12-31,12310.7,11868.047,13513.724,12415.684,12964.574,12943.308,11956.231,12182.914,13339.107,12601.342,12464.36,11731.27
T000017,2006-12-31,2005-12-31,14376.34,12738.382,14375.518,13062.983,14076.659,14052.268,12926.083,13004.823,14887.579,14015.818,12870.92,12746.3
T000018,2005-09-30,2005-06-30,506.38464,452.0802,455.4549,463.10785,464.6384,492.29376,411.42502,458.97446,455.07904,471.74374,439.0,453.0
T000018,2005-12-31,2005-06-30,493.4033,442.38922,457.8178,472.33536,468.63617,478.9916,404.1376,445.84006,427.46634,476.0273,428.0,442.0
T000018,2006-03-31,2005-06-30,492.8326,408.83102,430.834,433.93637,434.12613,442.56268,391.32895,423.9224,442.48648,477.8791,401.0,401.0
T000018,2006-06-30,2005-06-30,527.42084,442.826,483.15387,488.1681,467.6321,487.75824,419.41843,446.57938,459.6667,502.40002,439.0,443.0
T000019,2005-09-30,2005-06-30,618.3086,588.4452,615.9847,607.2692,620.8218,619.3058,603.4686,603.5518,602.98663,603.45496,639.0,590.0
T000019,2005-12-31,2005-06-30,559.0208,563.9551,567.6548,569.3691,572.80615,560.7652,558.41956,560.84546,539.08984,540.06604,559.0,554.0
T000019,2006-03-31,2005-06-30,510.65787,499.81372,487.4653,499.31836,502.99408,497.3514,495.877,527.7095,513.1184,495.88058,493.0,481.0
T000019,2006-06-30,2005-06-30,607.0157,575.583,591.172,603.46643,598.4896,596.78125,588.85767,584.3261,607.7213,594.3233,601.0,576.0
T000020,2005-09-30,2005-06-30,3158.616,3259.726,3291.359,3346.8755,3315.148,3292.4475,3319.3552,3358.1882,3338.52,3337.6897,3265.0,3290.0
T000020,2005-12-31,2005-06-30,2485.8037,2507.812,2405.4456,2412.9387,2423.5186,2395.129,2394.2993,2461.6184,2500.25,2359.0393,2348.0,2323.0
T000020,2006-03-31,2005-06-30,2695.488,2559.0874,2584.2122,2559.7896,2605.5735,2657.3997,2515.2412,2355.727,2555.4043,2641.9226,2584.0,2513.0
T000020,2006-06-30,2005-06-30,3076.665,2880.9392,2937.0522,3051.6372,2972.654,2985.0955,2949.5632,2904.7312,2921.0696,2969.5437,3113.0,2883.0
T000021,2005-09-30,2005-06-30,3161.415,3172.2932,3513.5415,3402.025,3477.626,3501.8481,3451.395,3312.3604,3362.3647,3375.9973,3411.0,3173.0
T000021,2005-12-31,2005-06-30,2286.4998,2148.8596,2376.1401,2404.8997,2363.142,2332.9727,2392.876,2218.7188,2364.8665,2248.2886,2226.0,2147.0
T000021,2006-03-31,2005-06-30,2263.077,2206.8892,2260.846,2245.3884,2303.3508,2361.6204,2245.1003,2094.8525,2420.9023,2312.4143,2074.0,2193.0
T000021,2006-06-30,2005-06-30,3096.9092,2882.5742,3056.8535,3092.3452,3074.0466,3074.1858,2967.4119,2948.8613,3211.479,3064.1978,2917.0,2885.0
T000022,2005-09-30,2005-06-30,2097.2517,2106.1213,2139.8438,2115.9727,2132.5159,2118.4226,2120.9495,2149.9758,2109.9277,2079.981,2081.0,2112.0
T000022,2005-12-31,2005-06-30,1991.2755,1992.3204,2004.9454,1991.0839,1992.8142,1955.2032,1963.3561,1924.4528,1948.4897,1935.2476,1956.0,1946.0
T000022,2006-03-31,2005-06-30,1917.7946,1844.1569,1888.8115,1807.6366,1856.289,1852.828,1819.345,1874.4905,1871.855,1861.173,1813.0,1797.0
T000022,2006-06-30,2005-06-30,2120.2751,2051.8171,2079.3538,2108.0212,2072.1553,2066.7983,2068.2842,2071.971,2061.4456,2088.4812,2173.0,2053.0
T000023,2005-09-30,2005-06-30,1051.5107,993.6177,1064.331,1046.1226,1066.8895,1092.7402,1020.4865,1117.9481,1044.1007,1067.5609,1068.0,991.0
T000023,2005-12-31,2005-06-30,1008.44995,924.451,983.54,996.13654,965.5471,971.001,972.77014,1158.0493,956.9481,970.6871,978.0,907.0
T000023,2006-03-31,2005-06-30,1350.1307,1412.813,1484.195,1448.4955,1465.0942,1457.3872,1369.2206,1490.125,1472.4021,1442.9789,1558.0,1432.0
T000023,2006-06-30,2005-06-30,1103.915,1026.632,1075.1826,1106.96,1056.303,1065.5372,1037.0461,1045.2385,1061.6208,1060.3344,1172.0,1024.0
T000024,2005-09-30,2005-06-30,5286.527,5154.09,5360.786,5209.878,5394.295,5427.5586,5268.4966,5334.608,5152.5713,5231.9287,5252.0,5183.0
T000024,2005-12-31,2005-06-30,4563.35,4549.338,4528.0513,4531.154,4587.4624,4433.757,4435.822,4216.33,4336.2065,4299.908,4323.0,4319.0
T000024,2006-03-31,2005-06-30,4167.0264,4035.9546,3914.3008,3862.6436,4006.1272,3988.5728,3920.2837,4044.5654,3921.592,4033.847,3720.0,3861.0
